分组,实验,编号,协议组,划分,seed,Overall81_100,Head20_81_100,Middle60_81_100,Tail20_81_100,Many81_100,Medium81_100,Few81_100,Tail峰值,峰值轮,Tail最后,最后记录轮,峰值到最后回落pp,说明,原始路径
2 支持归一化：独立协议,分别平均A/B；权重q=n/N,R546816346,P2 原始LoRA CE/rank2/AMP/普通Dir 2×2,client-longtail,42,64.77250000000001,86.5525,66.78666666666666,36.95,82.56571428571428,66.93142857142857,41.495,68.15,5,36.75,100,31.400000000000006,,output/cifar100_LT/ClipLora_SupportNormalized_2x2_seed42/seed42/clientlt/fedavg
2 支持归一化：独立协议,分别平均A/B；每尾类在支持客户端内按样本量归一化，再对尾类等权平均,Rebdd18038,P2 原始LoRA CE/rank2/AMP/普通Dir 2×2,client-longtail,42,65.1425,85.2025,65.00750000000001,45.4875,80.94428571428571,64.43857142857142,47.528333333333336,68.15,5,45.8,100,22.35000000000001,,output/cifar100_LT/ClipLora_SupportNormalized_2x2_seed42/seed42/clientlt/support_normalized
2 支持归一化：独立协议,分别平均A/B；权重q=n/N,Rf4337bdae,P2 原始LoRA CE/rank2/AMP/普通Dir 2×2,noniid-labeldir-fine,42,66.842,86.08500000000001,66.43416666666667,48.822500000000005,82.27714285714286,66.31,49.455,68.2,5,48.7,100,19.5,,output/cifar100_LT/ClipLora_SupportNormalized_2x2_seed42/seed42/dirichlet/fedavg
2 支持归一化：独立协议,分别平均A/B；每尾类在支持客户端内按样本量归一化，再对尾类等权平均,Rf42d9c19c,P2 原始LoRA CE/rank2/AMP/普通Dir 2×2,noniid-labeldir-fine,42,66.6745,85.4275,66.0275,49.8625,81.74285714285715,65.82857142857142,50.08166666666666,68.05,5,49.4,100,18.65,,output/cifar100_LT/ClipLora_SupportNormalized_2x2_seed42/seed42/dirichlet/support_normalized
1 开篇：固定边际双拓扑,FedAvg＋LoRA,Rcc29da3dc,P1 原始LoRA CE/rank2/AMP/固定边际双拓扑,client-longtail,42,64.72200000000001,85.6725,66.93583333333333,37.13,81.9042857142857,67.30571428571429,41.66166666666667,68.8,5,37.15,100,31.65,,output/eri_seed42_share/output/eri_closure_v1/runs/clientlt_fedavg/seed42
1 开篇：固定边际双拓扑,FedAvg＋LoRA,Rb6a37e628,P1 原始LoRA CE/rank2/AMP/固定边际双拓扑,matched-dirichlet,42,67.04400000000001,85.9,66.38333333333334,50.17,82.00428571428571,66.41142857142856,50.32833333333333,68.75,5,49.4,100,19.35,,output/eri_seed42_share/output/eri_closure_v1/runs/matched_dirichlet_fedavg/seed42
3 LA与A训练方式,E0,Rbf2f20b61,P4 LA-control/rank4/FP32/client-longtail,client-longtail,42,67.697,77.44,64.43416666666667,67.74249999999999,73.25285714285715,64.14,65.365,68.0,83,67.55,100,0.45000000000000284,,output/la_control_js_topology_analysis/la_control/seed42/client-longtail/e0/tau0_a1_protocol42
3 LA与A训练方式,E1,R58124e2e8,P4 LA-control/rank4/FP32/client-longtail,client-longtail,42,65.876,83.91999999999999,62.586666666666666,57.7,77.75571428571428,62.53571428571429,55.913333333333334,68.55,31,55.65,100,12.899999999999999,,output/la_control_js_topology_analysis/la_control/seed42/client-longtail/e1/tau0_a1_protocol42
3 LA与A训练方式,E2,Ra9d49b1ac,P4 LA-control/rank4/FP32/client-longtail,client-longtail,42,68.101,71.6425,66.40416666666667,69.65,69.85714285714286,65.61,68.95833333333334,69.85,98,69.8,100,0.04999999999999716,,output/la_control_js_topology_analysis/la_control/seed42/client-longtail/e2/tau1_a1_protocol42
3 LA与A训练方式,E3,R16bae8362,P4 LA-control/rank4/FP32/client-longtail,client-longtail,42,69.6455,74.5775,67.465,71.255,71.72142857142858,66.87142857142858,70.46000000000001,71.4,89,71.05,100,0.3500000000000085,,output/la_control_js_topology_analysis/la_control/seed42/client-longtail/e3/tau1_a1_protocol42
