run_id,round,overall,tail,nontail,head,middle,many,medium,few
Re4a3a6cc1,0,64.95,66.35,64.6,67.7,63.56666666666667,65.45714285714286,64.45714285714286,64.93333333333334
Re4a3a6cc1,1,64.98,66.4,64.625,67.85,63.55,65.6,64.4,64.93333333333334
Re4a3a6cc1,2,65.06,66.45,64.7125,68.1,63.583333333333336,65.88571428571429,64.31428571428572,64.96666666666667
Re4a3a6cc1,3,65.06,66.4,64.725,68.1,63.6,65.91428571428571,64.25714285714285,65.0
Re4a3a6cc1,4,65.1,66.4,64.775,68.3,63.6,66.0,64.25714285714285,65.03333333333333
Re4a3a6cc1,5,65.17,66.45,64.85,68.55,63.61666666666667,66.14285714285714,64.25714285714285,65.1
Re4a3a6cc1,6,65.34,66.7,65.0,68.85,63.71666666666667,66.42857142857143,64.34285714285714,65.23333333333333
Re4a3a6cc1,7,65.44,66.8,65.1,69.15,63.75,66.57142857142857,64.4,65.33333333333333
Re4a3a6cc1,8,65.62,67.0,65.275,69.3,63.93333333333333,66.82857142857142,64.45714285714286,65.56666666666666
Re4a3a6cc1,9,65.69,67.05,65.35,69.5,63.96666666666667,66.94285714285714,64.48571428571428,65.63333333333334
Re4a3a6cc1,10,65.75,67.1,65.4125,69.65,64.0,67.11428571428571,64.45714285714286,65.66666666666667
Re4a3a6cc1,11,65.79,67.2,65.4375,69.75,64.0,67.17142857142858,64.4,65.8
Re4a3a6cc1,12,65.88,67.35,65.5125,69.9,64.05,67.4,64.4,65.83333333333333
Re4a3a6cc1,13,65.95,67.45,65.575,70.05,64.08333333333333,67.51428571428572,64.42857142857143,65.9
Re4a3a6cc1,14,66.02,67.5,65.65,70.25,64.11666666666666,67.71428571428571,64.4,65.93333333333334
Re4a3a6cc1,15,66.1,67.6,65.725,70.4,64.16666666666667,67.74285714285715,64.51428571428572,66.03333333333333
Re4a3a6cc1,16,66.16,67.6,65.8,70.55,64.21666666666667,67.97142857142858,64.45714285714286,66.03333333333333
Re4a3a6cc1,17,66.2,67.6,65.85,70.6,64.26666666666667,68.02857142857142,64.54285714285714,66.0
Re4a3a6cc1,18,66.24,67.7,65.875,70.7,64.26666666666667,68.11428571428571,64.51428571428572,66.06666666666666
Re4a3a6cc1,19,66.3,67.7,65.95,70.85,64.31666666666666,68.2,64.57142857142857,66.1
Re4a3a6cc1,20,66.37,67.8,66.0125,70.95,64.36666666666666,68.25714285714285,64.65714285714286,66.16666666666667
Re4a3a6cc1,21,66.39,67.9,66.0125,71.05,64.33333333333333,68.34285714285714,64.57142857142857,66.23333333333333
Re4a3a6cc1,22,66.43,67.85,66.075,71.15,64.38333333333334,68.42857142857143,64.57142857142857,66.26666666666667
Re4a3a6cc1,23,66.41,67.8,66.0625,71.2,64.35,68.45714285714286,64.51428571428572,66.23333333333333
Re4a3a6cc1,24,66.39,67.7,66.0625,71.25,64.33333333333333,68.48571428571428,64.48571428571428,66.16666666666667
Re4a3a6cc1,25,66.43,67.75,66.1,71.3,64.36666666666666,68.57142857142857,64.45714285714286,66.23333333333333
Re4a3a6cc1,26,66.48,67.75,66.1625,71.4,64.41666666666667,68.68571428571428,64.48571428571428,66.23333333333333
Re4a3a6cc1,27,66.49,67.8,66.1625,71.45,64.4,68.68571428571428,64.48571428571428,66.26666666666667
Re4a3a6cc1,28,66.49,67.8,66.1625,71.55,64.36666666666666,68.77142857142857,64.42857142857143,66.23333333333333
Re4a3a6cc1,29,66.51,67.75,66.2,71.7,64.36666666666666,68.85714285714286,64.42857142857143,66.2
Re4a3a6cc1,30,66.54,67.8,66.225,71.85,64.35,68.94285714285714,64.4,66.23333333333333
Re4a3a6cc1,31,66.6,67.85,66.2875,72.0,64.38333333333334,69.05714285714286,64.37142857142857,66.33333333333333
Re4a3a6cc1,32,66.61,67.9,66.2875,72.05,64.36666666666666,69.08571428571429,64.37142857142857,66.33333333333333
Re4a3a6cc1,33,66.67,67.85,66.375,72.2,64.43333333333334,69.22857142857143,64.4,66.33333333333333
Re4a3a6cc1,34,66.69,67.85,66.4,72.25,64.45,69.28571428571429,64.4,66.33333333333333
Re4a3a6cc1,35,66.75,67.95,66.45,72.4,64.46666666666667,69.45714285714286,64.34285714285714,66.4
Re4a3a6cc1,36,66.82,67.9,66.55,72.6,64.53333333333333,69.57142857142857,64.42857142857143,66.4
Re4a3a6cc1,37,66.91,68.0,66.6375,72.7,64.61666666666666,69.74285714285715,64.45714285714286,66.46666666666667
Re4a3a6cc1,38,66.91,67.95,66.65,72.65,64.65,69.77142857142857,64.42857142857143,66.46666666666667
Re4a3a6cc1,39,66.97,67.9,66.7375,72.85,64.7,69.94285714285714,64.48571428571428,66.4
Re4a3a6cc1,40,67.03,67.85,66.825,73.1,64.73333333333333,70.17142857142858,64.48571428571428,66.33333333333333
Re4a3a6cc1,41,67.09,67.95,66.875,73.2,64.76666666666667,70.31428571428572,64.48571428571428,66.36666666666666
Re4a3a6cc1,42,67.12,67.85,66.9375,73.25,64.83333333333333,70.42857142857143,64.51428571428572,66.3
Re4a3a6cc1,43,67.1,67.8,66.925,73.3,64.8,70.42857142857143,64.48571428571428,66.26666666666667
Re4a3a6cc1,44,67.09,67.7,66.9375,73.4,64.78333333333333,70.51428571428572,64.45714285714286,66.16666666666667
Re4a3a6cc1,45,67.09,67.75,66.925,73.5,64.73333333333333,70.54285714285714,64.45714285714286,66.13333333333334
Re4a3a6cc1,46,67.07,67.75,66.9,73.5,64.7,70.57142857142857,64.4,66.1
Re4a3a6cc1,47,67.08,67.85,66.8875,73.65,64.63333333333334,70.62857142857143,64.34285714285714,66.13333333333334
Re4a3a6cc1,48,67.09,67.75,66.925,73.7,64.66666666666667,70.68571428571428,64.34285714285714,66.1
Re4a3a6cc1,49,67.09,67.7,66.9375,73.75,64.66666666666667,70.77142857142857,64.28571428571429,66.06666666666666
Re4a3a6cc1,50,67.1,67.65,66.9625,73.85,64.66666666666667,70.8,64.28571428571429,66.06666666666666
Re4a3a6cc1,51,67.11,67.6,66.9875,74.05,64.63333333333334,70.91428571428571,64.28571428571429,65.96666666666667
Re4a3a6cc1,52,67.15,67.6,67.0375,74.25,64.63333333333334,71.05714285714286,64.28571428571429,65.93333333333334
Re4a3a6cc1,53,67.16,67.6,67.05,74.3,64.63333333333334,71.05714285714286,64.31428571428572,65.93333333333334
Re4a3a6cc1,54,67.16,67.55,67.0625,74.3,64.65,71.05714285714286,64.34285714285714,65.9
Re4a3a6cc1,55,67.18,67.55,67.0875,74.4,64.65,71.11428571428571,64.37142857142857,65.86666666666666
Re4a3a6cc1,56,67.21,67.5,67.1375,74.6,64.65,71.17142857142858,64.42857142857143,65.83333333333333
Re4a3a6cc1,57,67.19,67.5,67.1125,74.6,64.61666666666666,71.2,64.4,65.76666666666667
Re4a3a6cc1,58,67.24,67.55,67.1625,74.85,64.6,71.31428571428572,64.4,65.8
Re4a3a6cc1,59,67.28,67.55,67.2125,74.95,64.63333333333334,71.4,64.42857142857143,65.8
Re4a3a6cc1,60,67.31,67.65,67.225,75.05,64.61666666666666,71.45714285714286,64.4,65.86666666666666
Re4a3a6cc1,61,67.32,67.6,67.25,75.15,64.61666666666666,71.51428571428572,64.4,65.83333333333333
Re4a3a6cc1,62,67.33,67.55,67.275,75.2,64.63333333333334,71.54285714285714,64.45714285714286,65.76666666666667
Re4a3a6cc1,63,67.35,67.65,67.275,75.25,64.61666666666666,71.54285714285714,64.48571428571428,65.8
Re4a3a6cc1,64,67.36,67.65,67.2875,75.35,64.6,71.6,64.51428571428572,65.73333333333333
Re4a3a6cc1,65,67.38,67.65,67.3125,75.4,64.61666666666666,71.62857142857143,64.54285714285714,65.73333333333333
Re4a3a6cc1,66,67.41,67.7,67.3375,75.6,64.58333333333333,71.8,64.51428571428572,65.66666666666667
Re4a3a6cc1,67,67.46,67.75,67.3875,75.7,64.61666666666666,71.88571428571429,64.51428571428572,65.73333333333333
Re4a3a6cc1,68,67.5,67.75,67.4375,75.7,64.68333333333334,71.91428571428571,64.57142857142857,65.76666666666667
Re4a3a6cc1,69,67.52,67.75,67.4625,75.9,64.65,72.02857142857142,64.51428571428572,65.76666666666667
Re4a3a6cc1,70,67.56,67.8,67.5,76.05,64.65,72.14285714285714,64.51428571428572,65.76666666666667
Re4a3a6cc1,71,67.58,67.8,67.525,76.1,64.66666666666667,72.17142857142858,64.54285714285714,65.76666666666667
Re4a3a6cc1,72,67.56,67.85,67.4875,76.15,64.6,72.2,64.48571428571428,65.73333333333333
Re4a3a6cc1,73,67.56,67.95,67.4625,76.2,64.55,72.22857142857143,64.42857142857143,65.76666666666667
Re4a3a6cc1,74,67.56,67.9,67.475,76.25,64.55,72.28571428571429,64.42857142857143,65.7
Re4a3a6cc1,75,67.55,67.9,67.4625,76.25,64.53333333333333,72.28571428571429,64.42857142857143,65.66666666666667
Re4a3a6cc1,76,67.56,67.85,67.4875,76.35,64.53333333333333,72.37142857142857,64.37142857142857,65.66666666666667
