类型,路径,字节
分析/检查脚本或说明,scripts/analyze_cliplora_b_shared_results.py,17806
分析/检查脚本或说明,scripts/analyze_cliplora_frequency_groups.py,22257
分析/检查脚本或说明,scripts/analyze_cliplora_selective_sync_v1.py,18450
分析/检查脚本或说明,scripts/analyze_cliplora_topology_bridge.py,1571
分析/检查脚本或说明,scripts/analyze_d2_conflict.py,19109
分析/检查脚本或说明,scripts/analyze_d2b_scalar_ceiling.py,35438
分析/检查脚本或说明,scripts/analyze_d3_boundary.py,13310
分析/检查脚本或说明,scripts/analyze_full_participation_diagnosis.py,12957
分析/检查脚本或说明,scripts/analyze_functional_coverage_validation.py,17207
分析/检查脚本或说明,scripts/analyze_p0_head_pareto.py,41358
分析/检查脚本或说明,scripts/analyze_sca_factorial.py,14181
分析/检查脚本或说明,scripts/analyze_stage1_capt_gap.py,19075
分析/检查脚本或说明,scripts/analyze_stage1_topology_gate.py,45021
分析/检查脚本或说明,scripts/build_lora_ab_descriptive_table.py,19387
分析/检查脚本或说明,scripts/check_clientlt_partition.py,15258
分析/检查脚本或说明,scripts/cliplora_fresh_protocol.py,2508
分析/检查脚本或说明,scripts/collect_capt_results.py,11812
分析/检查脚本或说明,scripts/compare_sfra_timing.py,5245
分析/检查脚本或说明,scripts/create_client_schedule.py,3222
分析/检查脚本或说明,scripts/dump_boundary_gate.py,3465
分析/检查脚本或说明,scripts/experiment12_protocol_topology_report.py,10917
分析/检查脚本或说明,scripts/experiment1_global_longtail_verification.py,19235
分析/检查脚本或说明,scripts/phase1_exposure_topology.py,32166
分析/检查脚本或说明,scripts/phase2_failure_mechanisms.py,23355
分析/检查脚本或说明,scripts/plot_aggregation_crush.py,7861
分析/检查脚本或说明,scripts/plot_experimentD_local_epochs.py,9204
分析/检查脚本或说明,scripts/plot_experimentD_main.py,6977
分析/检查脚本或说明,scripts/plot_panelC.py,2561
分析/检查脚本或说明,scripts/probe_clip_weak_tail.py,8475
实验入口（存在代码不代表已完成训练）,scripts/run_boundary_gate.py,13888
实验入口（存在代码不代表已完成训练）,scripts/run_capt_global_start.py,9280
实验入口（存在代码不代表已完成训练）,scripts/run_carrier_access_audit.py,6540
实验入口（存在代码不代表已完成训练）,scripts/run_cliplora_a_refresh.py,4821
实验入口（存在代码不代表已完成训练）,scripts/run_cliplora_b_shared_tradeoff.py,399
实验入口（存在代码不代表已完成训练）,scripts/run_cliplora_b_shared_transfer.py,322
实验入口（存在代码不代表已完成训练）,scripts/run_cliplora_b_transfer.py,289
实验入口（存在代码不代表已完成训练）,scripts/run_cliplora_factor_roles.py,1583
实验入口（存在代码不代表已完成训练）,scripts/run_cliplora_la_aggregation.py,5159
实验入口（存在代码不代表已完成训练）,scripts/run_cliplora_la_control.py,6454
实验入口（存在代码不代表已完成训练）,scripts/run_cliplora_selective_sync_v1.py,6807
实验入口（存在代码不代表已完成训练）,scripts/run_cliplora_sfra.py,14580
实验入口（存在代码不代表已完成训练）,scripts/run_cliplora_standard_dirichlet_reruns.py,1475
实验入口（存在代码不代表已完成训练）,scripts/run_cliplora_support_normalized.py,10262
实验入口（存在代码不代表已完成训练）,scripts/run_cliplora_topology_bridge.py,5881
实验入口（存在代码不代表已完成训练）,scripts/run_cliplora_v2.py,4234
实验入口（存在代码不代表已完成训练）,scripts/run_cusp_minimal.py,15637
实验入口（存在代码不代表已完成训练）,scripts/run_d23.py,7314
实验入口（存在代码不代表已完成训练）,scripts/run_e1_seed42.py,8035
实验入口（存在代码不代表已完成训练）,scripts/run_e2_client_update_audit.py,5936
实验入口（存在代码不代表已完成训练）,scripts/run_eri_closure.py,17369
实验入口（存在代码不代表已完成训练）,scripts/run_eri_phase0.py,2823
实验入口（存在代码不代表已完成训练）,scripts/run_full_participation_diagnosis.py,10445
实验入口（存在代码不代表已完成训练）,scripts/run_functional_breadth_p0_p1.py,4980
实验入口（存在代码不代表已完成训练）,scripts/run_functional_coverage_validation.py,10923
实验入口（存在代码不代表已完成训练）,scripts/run_functional_cusp_gate.py,19274
实验入口（存在代码不代表已完成训练）,scripts/run_g0_d1.py,21455
实验入口（存在代码不代表已完成训练）,scripts/run_main_table_standard_dirichlet.py,4301
实验入口（存在代码不代表已完成训练）,scripts/run_method_a_maintext.py,9277
实验入口（存在代码不代表已完成训练）,scripts/run_online_sca.py,16609
实验入口（存在代码不代表已完成训练）,scripts/run_pfrf_kill_test.py,23463
实验入口（存在代码不代表已完成训练）,scripts/run_pfrf_smoke.py,25833
实验入口（存在代码不代表已完成训练）,scripts/run_post_write_rewrite_audit.py,6908
实验入口（存在代码不代表已完成训练）,scripts/run_stage1_capt_dual_topology.py,13472
实验入口（存在代码不代表已完成训练）,scripts/run_stage2c_temporal.py,5156
实验入口（存在代码不代表已完成训练）,scripts/run_topology_breadth_phase2.py,4085
实验入口（存在代码不代表已完成训练）,scripts/run_v0_oracle.py,51341
实验入口（存在代码不代表已完成训练）,scripts/run_v1_mode_stability.py,24190
分析/检查脚本或说明,scripts/strict_exp1_fresh_topology.py,38707
分析/检查脚本或说明,scripts/summarize_boundary_gate.py,8394
分析/检查脚本或说明,scripts/summarize_cliplora_ab_inventory.py,9153
分析/检查脚本或说明,scripts/summarize_experimentD_local_epochs.py,12988
分析/检查脚本或说明,scripts/summarize_experimentD_main.py,10692
分析/检查脚本或说明,scripts/summarize_experimentD_mechanism.py,23138
分析/检查脚本或说明,scripts/summarize_functional_cusp_gate.py,3363
分析/检查脚本或说明,scripts/summarize_panelC.py,9593
分析/检查脚本或说明,scripts/summarize_v0_oracle.py,11557
分析/检查脚本或说明,experiments/analyze_clientlt_topology_sweep.py,44283
分析/检查脚本或说明,experiments/README_expC_lambda_response.md,4777
实验入口（存在代码不代表已完成训练）,experiments/run_clientlt_lambda_response.py,40369
协议或计划（状态需对照最新原始结果）,docs/capt_cluster_global_start.md,5468
协议或计划（状态需对照最新原始结果）,docs/capt_six_results_collection.md,4624
协议或计划（状态需对照最新原始结果）,docs/CAPT代码与实验机制审计_2026-09-14.md,24606
协议或计划（状态需对照最新原始结果）,docs/cliplora_b_aggregation_control.md,4708
协议或计划（状态需对照最新原始结果）,docs/cliplora_b_shared_tradeoff.md,10394
协议或计划（状态需对照最新原始结果）,docs/cliplora_b_shared_transfer.md,8182
协议或计划（状态需对照最新原始结果）,docs/cliplora_b_transfer.md,10658
协议或计划（状态需对照最新原始结果）,docs/cliplora_client_class_factor_roles_design.md,17386
