family,files,size_mb,run_directories,complete100_directories,csv_files,json_files,reports
.DS_Store,1,0.005863189697265625,0,0,0,0,
PromptFL_fedavg_vit_b16_batchSize32,1453,755.1214818954468,30,27,652,58,
a_refresh_c1_c2_c3_analysis,546,19.743420600891113,3,3,516,19,output/a_refresh_c1_c2_c3_analysis/analysis/report.md
a_refresh_topology_bridge_analysis,1184,153.40998077392578,4,4,1049,111,output/a_refresh_topology_bridge_analysis/a_refresh_topology_bridge/analysis/seed42/report.md; output/a_refresh_topology_bridge_analysis/review/详细分析.md
ab_framework_partition_review_20260918,3,0.014678955078125,0,0,2,0,output/ab_framework_partition_review_20260918/report.md
boundary_gate_clientlt_seed42,7,1.7785654067993164,1,0,2,3,
capt_code_audit_20260914,7,0.2333211898803711,0,0,4,2,output/capt_code_audit_20260914/stage1b_recheck/stage1b_report.md
capt_global_start_seed42_results,183,114.3191089630127,2,0,84,10,output/capt_global_start_seed42_results/analysis/report.md
capt_shared_schedules,1,0.02891254425048828,0,0,0,1,
carrier_access_audit,12,0.6153707504272461,0,0,9,3,
cd_two_seed_summary,8,0.1021270751953125,0,0,3,3,output/cd_two_seed_summary/cd_figure_redraw_prompt.md; output/cd_two_seed_summary/cd_result_audit.md
cifar100_LT/2dfea979a307d2b5c17c368507cc5474.jpg,1,4.130436897277832,0,0,0,0,
cifar100_LT/CAPT_cluster_vit_b16_batchSize32,162,85.69499206542969,2,0,77,4,
cifar100_LT/ClipLora_SupportNormalized_2x2_seed42,457,76.13252925872803,4,4,432,12,output/cifar100_LT/ClipLora_SupportNormalized_2x2_seed42/lora_figure_data_summary.md
cifar100_LT/PromptFL_fedavg_vit_b16_batchSize32,2579,1003.2209138870239,39,31,1206,84,output/cifar100_LT/PromptFL_fedavg_vit_b16_batchSize32/ExperimentD_Main/summary/experimentD_mechanism_conclusion.md
cifar100_LT/capt_main_matched,189,48.02109622955322,6,0,81,15,
cifar100_LT/clientLT_seed42,116,17.17220687866211,1,1,107,3,
cifar100_LT/fedtef_clean_topology,72,13.500062942504883,2,1,57,7,
cifar100_LT/fedtef_v10_topology_observer,120,58.60355472564697,4,3,90,14,
cifar100_LT/fedtef_v2_strong_k30_hard_l05_margin_prior,201,59.085641860961914,6,6,156,21,
cifar100_LT/fedtef_v3_prior_base_samplegate_conflict,34,11.149553298950195,1,1,26,4,
cifar100_LT/fedtef_v5_adapter_dirichlet_evidence_lifecycle,101,33.01877021789551,3,2,77,12,
cifar100_LT/fedtef_v5_component_ladder,182,31.536086082458496,8,0,121,25,output/cifar100_LT/fedtef_v5_component_ladder/fedtef_v5_component_report.md
cifar100_LT/fedtef_v6_low_exposure_router_dirichlet,37,12.765798568725586,1,1,29,4,
cifar100_LT/fedtef_v7_allrows_l03,37,13.80848217010498,1,1,29,4,
cifar100_LT/fedtef_v7_routed_prompt_dirichlet,37,13.731216430664062,1,1,29,4,
cifar100_LT/fedtef_v8_acquisition_dirichlet,37,15.823572158813477,1,1,29,4,
cifar100_LT/fedtef_v8_lite_dirichlet,37,15.82345962524414,1,1,29,4,
cifar100_LT/fedtef_v9_clean_acquisition_dirichlet,37,18.110480308532715,1,1,29,4,
cifar100_LT/gate_summary.json,1,0.07914543151855469,0,0,0,1,
cifar100_LT/lora,114,19.00454807281494,1,1,108,3,
cifar100_LT/output.tar.gz,1,35.01387023925781,0,0,0,0,
cifar10_LT/.DS_Store,1,0.005863189697265625,0,0,0,0,
cifar10_LT/CAPT_cluster_vit_b16_batchSize32,4,0.04998493194580078,1,0,0,0,
compatibility_retention_bridge,7,0.18807029724121094,0,0,5,2,
cusp_minimal_refactor_20260801_163123,20,34.75947380065918,1,0,7,6,output/cusp_minimal_refactor_20260801_163123/cusp_eval_client-longtail_seed42_round10/oracle_summary.md
cusp_minimal_seed42_refactor_20260801_042324,13,32.70247745513916,1,0,2,6,
d4a_per_class_round.csv,1,0.20450210571289062,0,0,1,0,
e1_seed42_results_for_analysis,241,6.563684463500977,2,2,228,12,output/e1_seed42_results_for_analysis/e1_strength_breadth/formal/seed42/analysis/e1_seed42_summary.md
eri_closure_v1,15,2.4142370223999023,0,0,10,2,output/eri_closure_v1/seed42_preregistered_analysis.md
eri_seed42_share,258,48.02205467224121,2,2,212,36,
exp1_longtail_per_client,11,0.8790903091430664,0,0,0,0,
expC_lambda_response_frac02,1638,219.536226272583,45,15,690,226,
expD_dirichlet_vs_clientlt,263,2.9421701431274414,1,0,121,130,
expF_shared_schedules,1,0.0006990432739257812,0,0,0,1,
experiment1_global_longtail_verification,12,0.1811532974243164,0,0,5,1,output/experiment1_global_longtail_verification/paper_notes.md
experiments,3,0.08528614044189453,0,0,0,0,experiments/README_expC_lambda_response.md
factor_roles_analysis,25,3.119870185852051,0,0,12,3,output/factor_roles_analysis/analysis/report.md; output/factor_roles_analysis/review/详细分析.md
functional_breadth_p0_p1_seed42,6,0.05100250244140625,0,0,2,2,output/functional_breadth_p0_p1_seed42/p0_p1_report.md; output/functional_breadth_p0_p1_seed42/p0_frac1_audit/p0_report.md
functional_breadth_p0_p1_seed42_v2,22,15.838719367980957,0,0,13,4,output/functional_breadth_p0_p1_seed42_v2/p0_p1_report.md; output/functional_breadth_p0_p1_seed42_v2/p0_frac1_audit/p0_report.md; output/functional_breadth_p0_p1_seed42_v2/p1_functional_breadth/p1_report.md
functional_cusp_gate_seed42,39,95.63693332672119,1,0,10,14,
la_control_ablation_analysis,2600,58.158504486083984,10,10,1123,1432,output/la_control_ablation_analysis/la_control/analysis/report.md; output/la_control_ablation_analysis/review/详细分析.md
la_control_analysis,1211,28.422669410705566,6,4,530,654,output/la_control_analysis/la_control/analysis/report.md
la_control_dirichlet_supplement_analysis,1014,21.890076637268066,4,4,445,550,output/la_control_dirichlet_supplement_analysis/la_control/analysis/report.md
la_control_js_topology_analysis,3166,69.76751232147217,12,12,1346,1757,output/la_control_js_topology_analysis/la_control/analysis/report.md; output/la_control_js_topology_analysis/review/详细分析.md
la_control_six_runs_analysis,1565,37.831454277038574,6,6,675,863,output/la_control_six_runs_analysis/la_control/analysis/report.md
la_control_standard_dirichlet_e3_j_s_analysis,811,15.493891716003418,3,3,342,448,output/la_control_standard_dirichlet_e3_j_s_analysis/la_control/analysis/report.md; output/la_control_standard_dirichlet_e3_j_s_analysis/review/详细分析.md
la_lambda_sweep_seed42_results,32,1.6845779418945312,4,4,24,8,
lora_ab_separation_review_20260916,13,0.18994522094726562,0,0,9,1,output/lora_ab_separation_review_20260916/report.md; output/lora_ab_separation_review_20260916/result_tables.md
many_medium_few_reanalysis_20260925,19,1.1406316757202148,0,0,10,1,output/many_medium_few_reanalysis_20260925/report.md; output/many_medium_few_reanalysis_20260925/分析结论.md
online_sca_seed42_v2,538,5.501700401306152,6,0,514,20,output/online_sca_seed42_v2/stage1a_topology_gate/stage1a_report.md; output/online_sca_seed42_v2/stage1b_capt_gap/stage1b_report.md
p0_v1_context_colocation_v2,27,4.556633949279785,0,0,9,6,output/p0_v1_context_colocation_v2/training_semantics_audit.md; output/p0_v1_context_colocation_v2/v1_report.md
partition_checks,2,0.013202667236328125,0,0,2,0,
pfrf_kill_v1,719,296.9908962249756,6,6,655,40,
pfrf_smoke_unit_audit,1,0.00023746490478515625,0,0,0,1,
pfrf_smoke_unit_local,1,0.0001583099365234375,0,0,0,1,
phase1_exposure_topology,11,0.36652660369873047,0,0,4,1,
phase2_failure_mechanisms,7,0.4666929244995117,0,0,3,0,output/phase2_failure_mechanisms/phase2_required_pairwise_logging.md
post_write_rewrite_audit,36,2.9457530975341797,0,0,11,5,
rank4_fedavg_analysis,111,4.561379432678223,1,1,106,4,
rank8_fedavg_analysis,111,4.561716079711914,1,1,106,4,
rank_sweep_analysis,8,0.24319744110107422,0,0,3,1,output/rank_sweep_analysis/report.md
selective_sync_v1_training_check,44,120.52936267852783,4,4,32,8,
sfra_b_aggregation_analysis,1489,100.79173946380615,2,2,635,643,output/sfra_b_aggregation_analysis/sfra_b_aggregation/analysis/report.md
sfra_b_shared_transfer_analysis,798,49.9983606338501,1,1,358,324,output/sfra_b_shared_transfer_analysis/review/statistics.md; output/sfra_b_shared_transfer_analysis/review/分析结论.md; output/sfra_b_shared_transfer_analysis/sfra_b_shared_transfer/analysis/report.md
sfra_b_transfer_run2_analysis,2282,154.96502590179443,3,3,985,969,output/sfra_b_transfer_run2_analysis/sfra_b_transfer_run2/analysis/report.md
sfra_cp_analysis,2101,134.2176399230957,3,3,882,915,output/sfra_cp_analysis/sfra_cp/analysis/report.md
sfra_cp_analysis_new,706,44.29916954040527,1,1,298,306,output/sfra_cp_analysis_new/sfra_cp/analysis/report.md
sfra_v1_analysis,3522,216.33827877044678,5,5,1480,1526,output/sfra_v1_analysis/review/详细分析.md; output/sfra_v1_analysis/sfra_v1/analysis/report.md
stage2c,7,0.27012157440185547,0,0,4,2,output/stage2c/stage2c_report.md
stage3_two_round_seed42,59,9.680107116699219,3,0,32,10,
strict_exp1_fresh_topology,24,0.6143207550048828,0,0,9,2,output/strict_exp1_fresh_topology/paper_notes.md
test,42,33.14727020263672,1,0,0,0,
test_v0_synthetic,1,0.00084686279296875,0,0,0,1,
test_v0_synthetic_final,1,0.00084686279296875,0,0,0,1,
test_v0_synthetic_final2,1,0.00084686279296875,0,0,0,1,
tmp,4,3.7087326049804688,0,0,0,0,
