方法,类别组,轮次,普通提案margin变化乘1e4,修正margin变化乘1e4,提交A净margin变化乘1e4,分类LA修正变化_类均衡,功能权重份额,CP显式样本权重份额
Full-CP μ1,Head20,61–90,0.6233817604107706,-0.5254208275480139,0.09796093286275677,0.0011633694505303641,0.2381814300524032,0.6133493087909301
Full-CP μ1,Middle60,61–90,0.008834484815230689,0.0603695287045612,0.06920401351979191,0.0007675333836921615,0.7027427008729622,0.3725454003215418
Full-CP μ1,Tail20,61–90,0.0012490993321989643,0.003158775875312538,0.0044078752075115005,-0.0027124191998284205,0.059075878487783486,0.014105282643868122
Full-CP μ1,Many35,61–90,0.2928144811899348,-0.16159437665568993,0.1312201045342449,0.0010398978207114416,0.46466229924505265,0.8134968126760214
Full-CP μ1,Medium35,61–90,0.10248408289770182,-0.06265568849024564,0.03982839440745618,0.001286981703066832,0.39090866686504644,0.15838480547245126
Full-CP μ1,Few30,61–90,-0.027092115309801643,0.034189432297579654,0.007097316987778024,-0.002212325843222367,0.1444290433030498,0.028118373607867397
Full-CP μ3,Head20,61–90,0.5232126468994474,-0.3708537645210913,0.15235888237835613,0.0008491329919643072,0.24130750910165563,0.6133493087909301
Full-CP μ3,Middle60,61–90,-0.004100801940431725,0.07828550683188008,0.07418470489144832,0.000445669677282817,0.7008028210470608,0.3725454003215418
Full-CP μ3,Tail20,61–90,-0.09498161676472389,0.10665499998746476,0.011673383222740892,-0.002467757435276225,0.05788967682456132,0.014105282643868122
Full-CP μ3,Many35,61–90,0.24098731350867394,-0.07754075881622825,0.16344655469244565,0.0006942368943899908,0.466462704060541,0.8134968126760214
Full-CP μ3,Medium35,61–90,0.08261832841896131,-0.03455234522586611,0.048065983193095206,0.0009315077652538255,0.39121172623320793,0.15838480547245126
Full-CP μ3,Few30,61–90,-0.10025416603995557,0.1112137920237859,0.010959625983830318,-0.0020844457105600967,0.14232557667952886,0.028118373607867397
Flat-CP μ1,Head20,61–90,0.4306842312833466,-0.252771663038827,0.17791256824451962,0.0005757921502242741,0.3043459802303308,0.6133493087909301
Flat-CP μ1,Middle60,61–90,-0.005557627050040449,0.059232924885845833,0.053675297835805366,0.0002982995852992205,0.6474835901986807,0.3725454003215418
Flat-CP μ1,Tail20,61–90,-0.13823275860987555,0.1329451891271876,-0.005287569482687912,-0.0021121754811417007,0.04817045780170399,0.014105282643868122
Flat-CP μ1,Many35,61–90,0.19814059151107097,-0.04161721829310938,0.15652337321796164,0.00046602796396940743,0.5057903309275086,0.8134968126760214
Flat-CP μ1,Medium35,61–90,0.07478896422984259,-0.040180505830846265,0.03460845839899632,0.0007512565071580193,0.38063051336988185,0.15838480547245126
Flat-CP μ1,Few30,61–90,-0.13456542068216598,0.13401221197521362,-0.0005532087069523482,-0.0018478215996618407,0.11357918393332511,0.028118373607867397
