方法,round,类别组,普通提案margin变化乘1e4,修正margin变化乘1e4,提交A净margin变化乘1e4,分类LA修正变化_类均衡,功能权重份额,CP显式样本权重份额
Full-CP μ1,61,Head20,0.5851952521080895,-0.5069643372611125,0.07823091484697711,0.0010758132870827507,0.22924677025002893,0.6133493087909301
Full-CP μ1,61,Middle60,0.02188388522053148,0.04169068437258576,0.06357456959311718,0.0007892111622451102,0.7116756894101854,0.3725454003215418
Full-CP μ1,61,Tail20,0.027245615395562094,-0.016641285522685702,0.010604329872876406,-0.0017998637130949644,0.05907754067447968,0.014105282643868122
Full-CP μ1,61,Many35,0.2834387706141632,-0.17306398724266,0.11037478337150322,0.0009849624526637709,0.4500718502968084,0.8134968126760214
Full-CP μ1,61,Medium35,0.08080300148031026,-0.044019095423488315,0.03678390605682192,0.0011249358527099438,0.407976545553538,0.15838480547245126
Full-CP μ1,61,Few30,0.02711294799994501,-0.012425450000187596,0.014687497999757429,-0.0013658259824539222,0.14195160448434763,0.028118373607867397
Full-CP μ1,62,Head20,0.5768893490032034,-0.4599344282721152,0.11695492073108817,0.0010429672981256259,0.23102724825730547,0.6133493087909301
Full-CP μ1,62,Middle60,0.017006444949228473,0.04690898262067734,0.0639154275699058,0.0007825984452687197,0.7119275125005515,0.3725454003215418
Full-CP μ1,62,Tail20,0.018238257810783882,-0.007891942611119404,0.010346315199664478,-0.001887376066685344,0.0570453113905387,0.014105282643868122
Full-CP μ1,62,Many35,0.2756917501960419,-0.14124339833070504,0.13444835186533688,0.0009520084462542159,0.460252345787012,0.8134968126760214
Full-CP μ1,62,Medium35,0.07864595041620862,-0.05005095305430483,0.028594997361903768,0.0011912039275554917,0.3956587271823082,0.15838480547245126
Full-CP μ1,62,Few30,0.017370643726822864,0.0051104612683764376,0.022481104995199307,-0.0014981567246136992,0.14408899917907547,0.028118373607867397
Full-CP μ1,63,Head20,0.5805280661859302,-0.46966156162996986,0.11086650455596034,0.0010592254304834425,0.23195439226401504,0.6133493087909301
Full-CP μ1,63,Middle60,0.02436779098333444,0.04501265031668691,0.06938044130002137,0.0007977766703394185,0.7073352182051167,0.3725454003215418
Full-CP μ1,63,Tail20,0.021456752923162042,-0.007178879362375767,0.014277873560786247,-0.0019004882458830256,0.06071041544782929,0.014105282643868122
Full-CP μ1,63,Many35,0.28510950909504285,-0.14687547601253445,0.13823403308250837,0.0009688954202817453,0.4576321362692397,0.8134968126760214
Full-CP μ1,63,Medium35,0.0802733466407176,-0.0498464811643422,0.030426865476375423,0.0012082279171739011,0.3992286309367046,0.15838480547245126
Full-CP μ1,63,Few30,0.023778796347676594,0.001640623344832832,0.025419419692509406,-0.0015052657632858052,0.14313925871101674,0.028118373607867397
Full-CP μ1,64,Head20,0.5858147004836259,-0.46555642922317336,0.12025827126045252,0.001025462589154912,0.23427535945666023,0.6133493087909301
