round,group,units,classes,improved_units,harmed_units,unchanged_units,harmed_class_means,class_macro_la_gain,class_macro_positive_gain,class_macro_harm,maximum_unit_harm,class_macro_accuracy_change_pp
30,tail,73,20,60,13,0,4,0.011893600243040254,0.014139853559641374,0.0022462533166011213,0.044585227966308594,0.0
30,non_tail,222,65,143,79,0,25,0.0034789451043197007,0.005835386743099249,0.0023564416387795487,0.047742605209350586,0.0
40,tail,73,20,66,7,0,2,0.013604935523924517,0.014916473279784735,0.0013115377558602177,0.025557994842529297,0.0
40,non_tail,222,65,159,63,0,25,0.0010214192299245097,0.00448198355751147,0.0034605643275869608,0.07457306981086731,0.0
50,tail,73,20,65,8,0,2,0.013714758914688395,0.01489141681904181,0.0011766579043534146,0.024682044982910156,0.0
50,non_tail,222,65,152,70,0,30,-0.0010319683354438828,0.002834573065811868,0.003866541401255751,0.04761457443237305,0.0
60,tail,73,20,66,7,0,2,0.013364727453897803,0.01432027302501309,0.0009555455711152867,0.01505279541015625,0.0
60,non_tail,222,65,158,64,0,29,-0.0002687105497181503,0.0032718884795583498,0.0035405990292765,0.04491853713989258,-0.7692307692307693
70,tail,73,20,54,19,0,6,0.01343994814010028,0.015495990557570234,0.0020560424174699533,0.030619144439697266,0.0
70,non_tail,222,65,144,78,0,28,-0.0015458125502102354,0.003524191946922088,0.0050700044971323235,0.06696221232414246,-0.7692307692307693
80,tail,73,20,62,11,0,3,0.014021645759542779,0.01522105095287164,0.0011994051933288633,0.016117572784423828,0.0
80,non_tail,222,65,149,73,0,30,-0.0005470290203170992,0.0029897045478054474,0.0035367335681225466,0.05192363262176514,0.05698005698005699
90,tail,73,20,62,11,0,3,0.014301825162126795,0.015315391548081415,0.0010135663859546186,0.019130229949951172,0.0
90,non_tail,222,65,147,75,0,25,-0.000710500679173204,0.002805135017946787,0.003515635697119991,0.051719069480895996,0.10256410256410257
100,tail,73,20,51,22,0,5,0.01402414016257455,0.01831545946951439,0.004291319306939838,0.04990267753601074,0.0
100,non_tail,222,65,146,76,0,25,-0.0001158705253101589,0.005380820039575234,0.005496690564885393,0.10164594650268555,1.5384615384615385
