round,group,token_count,supported_token_count,unsupported_token_count,class_count,supported_class_count,averaging,supported_fraction,nonholder_exists_given_supported,nonholder_positive_share_given_supported,nonholder_candidate_share_given_supported
1,all,1516,1029,487,100,94,token_equal,0.6787598944591029,0.9727891156462585,0.29731977481651545,0.36047942986718495
1,all,1516,1029,487,100,94,class_equal,0.6555526351221903,0.9510215799815463,0.4313178497499511,0.4854609929078013
1,tail20,73,48,25,20,18,token_equal,0.6575342465753424,0.9791666666666666,0.9120748533325435,0.8708333333333336
1,tail20,73,48,25,20,18,class_equal,0.6541666666666667,0.9444444444444444,0.8827484911260517,0.875925925925926
1,non_tail80,1443,981,462,80,76,token_equal,0.6798336798336798,0.9724770642201835,0.2672400156230707,0.33550798504926943
1,non_tail80,1443,981,462,80,76,class_equal,0.6558991272360711,0.9525793226087549,0.32440006626613793,0.3929824561403509
2,all,1516,1078,438,100,95,token_equal,0.7110817941952506,0.9962894248608535,0.30373303518028105,0.36199752628324056
2,all,1516,1078,438,100,95,class_equal,0.6863158517976292,0.9974955504703787,0.44378584461862214,0.4842105263157893
2,tail20,73,49,24,20,18,token_equal,0.6712328767123288,1.0,0.9233129877898802,0.870748299319728
2,tail20,73,49,24,20,18,class_equal,0.6666666666666667,1.0,0.9262328050713313,0.875925925925926
2,non_tail80,1443,1029,414,80,77,token_equal,0.7130977130977131,0.9961127308066083,0.2742292279131573,0.3377712989957888
2,non_tail80,1443,1029,414,80,77,class_equal,0.6912281480803699,0.9969100947361815,0.3310060356816253,0.3926406926406927
3,all,1516,1084,432,100,95,token_equal,0.7150395778364116,0.992619926199262,0.30220685728671187,0.3615621156211562
3,all,1516,1084,432,100,95,class_equal,0.6887516002596936,0.9880234677603099,0.44181084707657065,0.4842105263157893
3,tail20,73,49,24,20,18,token_equal,0.6712328767123288,1.0,0.9217953095075115,0.870748299319728
3,tail20,73,49,24,20,18,class_equal,0.6666666666666667,1.0,0.9246141711594849,0.875925925925926
3,non_tail80,1443,1035,408,80,77,token_equal,0.7172557172557172,0.9922705314009662,0.2728736841864035,0.33745571658615137
3,non_tail80,1443,1035,408,80,77,class_equal,0.6942728336579502,0.9852237589250578,0.3289477323558893,0.3926406926406927
4,all,1516,1083,433,100,95,token_equal,0.7143799472295514,0.997229916897507,0.30491486428374376,0.36201908279470607
4,all,1516,1083,433,100,95,class_equal,0.6910096151916215,0.9934290271132377,0.4429483319738932,0.4842105263157893
4,tail20,73,50,23,20,18,token_equal,0.684931506849315,1.0,0.920620961414015,0.8713333333333334
4,tail20,73,50,23,20,18,class_equal,0.6833333333333333,1.0,0.9226111851661256,0.875925925925926
