class_id,client_0,client_1,client_2,client_3,client_4,client_5,client_6,client_7,client_8,client_9,client_10,client_11,client_12,client_13,client_14,client_15,client_16,client_17,client_18,client_19,client_20,client_21,client_22,client_23,client_24,client_25,client_26,client_27,client_28,client_29
0,84,14,17,1,34,34,1,1,0,4,5,4,8,4,0,115,6,11,1,11,11,17,2,9,5,0,100,1,0,0
1,11,13,6,0,11,4,21,56,26,23,1,23,28,11,8,10,9,30,14,23,41,5,7,15,1,3,76,0,0,1
2,69,0,11,14,13,28,57,1,5,24,63,9,0,2,0,31,2,4,1,0,1,0,48,1,36,33,1,1,0,0
3,1,3,7,32,12,8,0,21,2,2,18,22,13,0,7,46,1,41,4,1,45,0,12,40,1,80,14,0,1,0
4,25,1,12,11,24,3,50,3,34,18,10,41,38,24,18,40,5,28,1,0,0,1,6,9,0,8,4,0,0,1
5,26,0,57,4,16,44,7,34,19,2,26,0,0,0,0,4,1,8,17,1,34,3,9,3,0,71,9,0,1,0
6,2,2,53,43,6,11,9,11,38,5,13,15,23,20,6,0,0,2,0,0,17,0,2,2,39,45,13,1,0,0
7,0,80,11,5,1,0,54,1,24,6,14,37,3,4,6,28,1,6,0,10,15,5,15,12,21,1,0,1,0,0
8,19,0,1,2,0,8,5,1,12,5,9,18,8,43,4,17,5,1,27,7,13,20,35,36,3,39,5,0,0,1
9,2,0,3,0,19,2,0,5,6,0,8,4,21,4,13,10,26,6,118,3,5,5,23,26,2,15,1,0,0,1
10,13,5,59,2,10,54,1,7,0,12,13,0,5,18,7,1,45,1,15,3,2,28,5,3,0,0,4,0,0,1
11,0,4,21,10,59,18,0,2,15,0,4,11,1,37,16,6,28,0,4,0,42,11,0,5,5,0,0,0,0,0
12,1,0,11,48,0,1,86,1,1,2,5,17,6,4,0,12,3,2,1,17,8,0,4,47,2,6,1,0,0,0
13,20,10,9,27,1,1,11,3,2,19,48,3,12,0,0,2,0,28,12,28,1,1,1,0,0,5,29,0,0,0
14,0,2,0,7,0,0,0,0,13,29,6,1,2,14,53,7,0,4,13,4,5,35,15,2,23,17,8,0,0,0
15,4,4,8,1,0,0,0,2,11,11,20,0,19,0,14,4,10,2,4,3,6,2,9,1,18,80,15,0,0,0
16,0,1,7,4,2,51,3,1,7,2,0,1,10,11,1,1,3,0,3,42,16,4,4,3,17,42,1,0,0,0
17,1,0,17,3,9,4,0,4,15,10,1,26,22,6,8,1,0,0,44,3,8,27,2,1,7,4,3,0,0,0
18,6,15,7,0,1,1,47,4,0,1,1,2,6,0,14,0,0,31,16,8,0,2,14,13,22,5,0,0,0,0
19,9,13,0,1,6,52,0,1,16,4,12,5,0,20,0,1,0,0,2,1,1,23,22,0,1,12,4,0,0,0
20,9,1,1,10,33,0,1,3,13,0,2,15,1,0,0,14,6,2,7,22,5,12,1,10,3,7,19,0,0,0
21,1,0,1,3,0,15,0,2,9,0,31,1,7,18,9,0,4,0,14,2,21,5,0,1,11,27,6,0,0,0
22,5,5,13,0,4,1,10,0,9,2,8,2,4,0,7,8,0,4,1,3,12,22,2,22,17,18,0,0,0,0
23,0,1,3,0,4,2,23,16,5,2,2,1,2,0,4,15,3,2,0,15,0,37,10,4,16,1,3,0,0,0
24,12,2,20,0,12,1,0,3,0,2,8,44,2,7,0,2,3,3,3,16,0,4,17,1,0,1,0,0,0,0
25,0,3,4,9,0,0,1,0,0,3,10,10,4,27,11,3,0,6,1,1,14,4,9,9,18,3,6,0,0,0
26,0,19,0,5,0,5,3,1,16,0,3,6,2,25,1,0,4,6,4,8,1,9,5,17,4,1,4,0,0,0
27,6,6,6,9,13,4,0,38,1,9,0,2,9,4,1,0,4,0,0,0,0,0,8,12,10,0,0,0,0,0
28,0,7,5,1,0,2,1,23,1,1,17,0,3,21,23,3,1,1,0,3,3,0,1,0,0,10,8,0,0,0
29,0,0,1,1,20,2,6,1,0,3,1,1,21,32,1,0,4,2,1,0,0,8,0,0,1,1,22,0,0,0
30,1,8,8,5,4,6,2,0,1,0,1,0,0,0,4,0,29,7,1,0,7,15,6,1,14,0,3,0,0,0
31,10,0,22,7,1,2,3,2,1,1,5,8,3,1,1,0,4,19,0,9,2,2,0,1,7,7,0,0,0,0
32,15,1,2,6,0,25,5,0,1,0,0,2,4,1,15,0,1,1,4,1,10,0,6,5,6,0,1,0,0,0
33,2,0,1,2,0,0,0,9,1,7,5,1,1,3,3,9,0,4,2,1,1,7,3,1,20,24,0,0,0,0
34,11,0,4,0,16,5,0,0,7,2,0,0,1,1,0,0,15,0,5,1,22,2,2,0,2,4,2,0,0,0
35,1,5,1,0,0,1,2,1,4,6,6,1,1,0,1,5,13,8,1,1,1,11,1,4,1,8,14,0,0,0
36,14,1,0,12,2,1,0,1,1,0,3,2,0,0,4,1,27,1,0,0,3,0,8,1,1,3,7,0,0,0
37,2,0,2,1,0,1,7,5,0,4,5,0,7,0,18,15,0,1,1,9,3,0,2,0,0,2,4,0,0,0
38,0,3,0,2,4,1,3,4,17,3,0,2,15,2,1,1,2,2,0,0,7,3,10,1,1,0,1,0,0,0
39,8,0,0,2,0,12,2,0,1,6,2,4,3,1,2,1,10,11,2,2,3,2,1,1,2,0,3,0,0,0
40,2,1,1,0,3,2,1,11,0,2,1,13,9,4,0,1,0,3,3,3,11,1,3,1,1,0,0,0,0,0
