class_id,client_0,client_1,client_2,client_3,client_4,client_5,client_6,client_7,client_8,client_9,client_10,client_11,client_12,client_13,client_14,client_15,client_16,client_17,client_18,client_19,client_20,client_21,client_22,client_23,client_24,client_25,client_26,client_27,client_28,client_29
0,2,22,0,0,18,0,33,1,1,10,13,3,5,0,12,0,128,2,11,0,0,1,2,8,137,80,8,1,0,2
1,21,4,1,0,23,0,18,12,37,5,22,44,0,21,20,9,0,0,2,53,3,1,4,55,16,26,45,26,6,3
2,44,0,7,0,76,15,2,9,22,0,49,0,22,2,4,10,0,1,0,4,11,15,2,67,0,32,6,1,52,2
3,9,29,1,0,0,9,10,10,1,10,10,0,1,28,21,14,1,15,43,29,0,3,66,0,32,1,47,11,1,32
4,14,4,20,41,5,25,14,40,2,1,0,24,1,14,0,8,23,6,20,0,27,3,1,9,18,77,8,5,5,0
5,0,31,7,0,2,0,7,13,1,0,68,9,0,49,70,0,1,0,0,23,26,0,6,11,3,18,1,4,28,18
6,0,13,4,3,108,18,1,33,43,2,1,8,5,3,0,0,20,0,2,33,25,9,1,0,0,1,42,2,1,0
7,0,6,0,7,3,5,0,36,3,0,6,51,1,0,8,30,39,7,25,0,4,3,38,14,3,0,11,6,15,40
8,2,12,0,6,9,6,55,1,24,13,1,6,61,6,3,43,0,12,10,6,13,0,0,0,1,37,13,2,1,1
9,0,4,11,0,55,1,45,2,7,20,14,0,28,8,1,21,2,0,3,0,18,40,1,12,2,12,5,12,0,4
10,2,1,0,6,0,108,30,1,59,8,19,2,7,0,3,0,1,0,4,4,18,4,3,27,0,0,7,0,0,0
11,18,2,4,6,11,33,1,4,48,0,9,0,13,41,0,3,0,21,2,0,0,22,1,24,22,3,1,5,5,0
12,3,0,37,12,8,6,1,38,73,1,19,5,0,15,0,6,2,7,2,0,4,37,3,0,0,1,0,6,0,0
13,3,0,15,5,7,0,37,3,10,0,11,0,1,0,24,12,0,9,32,15,5,0,0,5,42,2,12,10,12,1
14,18,27,35,2,12,1,1,0,0,1,14,0,37,11,0,5,0,0,0,2,18,8,9,17,0,6,3,0,17,16
15,2,10,0,25,1,18,16,5,0,1,6,1,4,19,24,19,1,0,2,0,3,0,4,2,17,11,22,12,5,18
16,11,1,1,2,4,0,1,0,16,1,30,5,34,7,2,0,13,1,21,4,11,17,1,3,0,2,24,20,5,0
17,1,12,0,10,21,2,16,11,0,23,20,9,8,7,1,10,0,0,20,0,5,6,8,12,5,4,0,12,3,0
18,0,0,37,8,13,1,3,3,0,8,2,7,0,4,1,4,3,21,7,10,23,15,8,0,18,15,1,4,0,0
19,1,5,0,3,6,18,23,0,0,12,1,0,0,9,21,0,14,0,0,13,23,3,0,12,3,5,1,2,31,0
20,4,2,0,41,1,0,2,16,9,1,14,3,1,13,3,35,4,6,8,2,11,2,3,1,0,6,6,0,0,3
21,3,5,2,0,2,15,0,1,3,0,1,2,0,66,0,2,0,2,0,1,1,11,22,6,16,0,17,0,9,1
22,6,0,29,3,16,3,12,11,16,2,2,3,2,2,3,6,3,4,0,2,4,6,18,4,1,0,2,0,17,2
23,3,1,0,3,7,29,6,0,30,10,0,6,14,0,15,7,3,3,5,6,0,0,2,0,2,5,3,4,0,7
24,2,0,0,0,0,0,0,31,5,2,3,6,0,0,0,5,1,16,1,67,2,4,0,0,11,0,1,0,4,2
25,5,17,0,0,1,23,14,0,1,1,0,1,17,6,0,0,29,0,2,10,0,7,0,0,0,3,4,11,1,3
26,0,3,2,10,1,0,5,7,0,37,30,0,2,0,1,10,1,4,12,6,1,0,0,3,5,5,0,0,4,0
27,5,1,26,1,2,4,1,2,0,0,1,0,3,4,0,11,4,5,1,11,0,4,0,12,1,8,12,9,5,9
28,0,44,0,0,8,0,8,2,0,3,2,0,0,3,1,8,2,4,2,8,6,1,2,1,10,1,2,9,3,5
29,6,8,3,0,10,16,3,0,6,6,10,1,14,0,1,0,1,2,0,13,0,2,0,9,2,7,5,3,0,1
30,11,0,2,0,0,9,0,3,0,36,2,6,0,0,1,3,0,0,9,11,1,2,2,10,4,4,0,7,0,0
31,0,4,0,18,1,0,1,2,1,9,4,0,0,1,7,14,0,4,6,2,0,0,6,3,0,11,4,13,2,5
32,0,0,7,6,3,3,1,1,10,1,0,5,8,0,2,4,15,6,1,1,0,3,2,0,1,15,12,0,5,0
33,1,4,5,0,3,4,0,5,4,9,3,0,0,0,1,2,11,1,14,0,9,2,9,0,0,2,8,4,1,5
34,9,4,2,0,0,5,18,2,0,0,6,0,0,1,5,3,7,0,0,1,0,1,2,17,3,8,4,3,0,1
35,0,8,0,9,2,3,4,4,0,0,0,1,4,5,1,1,3,7,12,0,1,6,0,15,0,0,1,7,1,3
36,3,0,5,0,0,2,5,3,6,3,3,2,0,1,6,0,5,7,3,2,1,24,3,0,0,0,1,3,3,2
37,6,2,2,7,2,1,11,12,0,0,3,0,2,5,0,1,0,0,6,7,3,3,1,4,1,0,8,0,2,0
38,7,0,0,1,14,1,1,1,2,0,1,2,0,4,9,2,0,0,2,8,0,1,4,0,0,0,16,6,1,2
39,1,1,1,0,1,18,13,0,4,1,9,0,0,5,6,0,3,1,2,0,5,0,2,7,0,0,0,0,0,1
40,0,12,1,3,0,0,4,0,0,6,0,0,4,5,7,2,1,0,1,3,0,12,1,0,2,5,0,2,6,0
41,2,0,0,1,0,0,2,1,0,1,0,12,5,9,1,1,1,0,2,9,3,3,1,0,2,2,0,14,1,1
42,0,2,0,0,4,0,8,1,5,0,4,0,0,0,5,9,1,0,0,10,5,6,5,0,0,0,1,3,0,1
43,0,1,0,0,0,4,0,4,0,1,5,2,6,1,4,0,4,7,0,1,3,2,0,5,3,10,4,0,0,0
44,9,5,6,0,2,3,4,3,2,2,0,3,0,2,0,0,1,1,0,2,0,0,2,3,0,1,2,0,10,1
45,1,6,0,1,1,0,0,12,2,1,0,2,1,0,0,4,4,0,2,4,1,2,0,6,0,8,1,1,1,0
46,0,0,3,0,1,4,5,1,0,0,0,4,0,12,1,6,0,0,0,1,0,4,3,3,1,0,6,1,0,2
47,1,0,0,3,4,0,1,2,1,2,0,0,17,0,3,0,5,13,1,0,0,0,1,0,0,2,0,0,0,0
48,0,1,2,3,1,7,0,2,0,0,3,1,2,2,4,6,0,2,1,6,0,0,1,1,1,0,0,2,0,5
49,2,1,4,0,0,0,3,2,1,5,1,1,0,0,0,3,1,4,3,3,3,9,0,0,0,0,3,1,0,1
50,0,0,1,0,1,8,7,2,0,0,2,4,0,1,0,1,2,3,0,4,0,2,3,1,4,0,0,1,1,0
51,0,4,2,1,0,0,2,0,3,2,8,0,0,0,0,0,0,4,0,2,0,0,3,4,6,5,0,0,0,0
52,0,9,1,0,1,1,1,0,5,0,1,3,0,0,0,0,0,0,0,0,4,0,6,7,0,2,1,0,0,2
53,0,1,3,0,0,0,0,0,4,6,1,2,4,0,0,1,0,3,2,0,0,1,0,2,4,1,0,1,6,0
54,0,2,1,0,0,2,0,2,1,0,0,0,1,1,5,0,6,2,5,1,0,0,7,0,0,0,3,0,0,1
55,0,0,0,0,0,0,5,4,4,0,4,1,7,1,0,0,2,0,0,0,0,1,0,0,2,2,1,1,0,3
56,0,0,0,2,0,0,0,5,0,1,0,2,0,0,0,2,1,0,0,0,4,1,4,2,10,1,0,0,0,1
57,0,0,0,0,2,1,0,0,0,1,1,4,4,0,2,1,2,0,0,2,2,1,0,0,0,0,2,1,7,2
58,0,2,1,0,2,0,1,0,0,2,0,0,0,3,0,2,0,0,0,1,0,3,0,6,0,6,0,2,0,2
59,0,0,0,2,0,0,0,1,1,4,0,0,0,2,0,1,1,0,1,6,1,2,0,0,0,1,5,1,2,1
60,1,1,3,3,0,1,0,1,1,0,0,4,2,0,0,3,2,1,0,0,0,0,3,0,0,0,4,0,0,0
61,1,0,0,1,1,1,2,0,3,0,2,0,0,3,0,2,0,0,0,1,3,0,0,2,2,0,0,3,2,0
62,2,0,0,3,0,0,3,0,0,2,2,0,2,0,5,1,0,1,0,0,0,2,2,1,1,0,0,0,0,0
63,0,0,0,3,2,0,2,1,0,0,0,0,3,1,2,2,0,0,0,0,2,1,2,0,1,0,0,0,4,0
64,0,0,0,0,0,4,0,2,2,4,0,2,0,0,0,3,0,0,0,0,0,1,0,0,0,1,2,0,0,4
65,0,0,0,1,0,1,2,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,3,5,1,0,1,1,0,5
66,8,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,3,0,0,0,1,5,3,0,0,0,0,0,0,0
67,0,0,0,2,0,0,0,0,2,2,0,2,0,0,0,0,0,0,0,4,0,0,1,0,2,0,1,0,0,6
68,0,1,0,4,1,0,0,1,0,0,0,1,0,0,1,2,2,1,0,3,0,1,0,0,0,1,0,1,0,1
69,0,1,0,0,1,0,4,1,0,0,0,0,0,0,1,0,0,3,0,1,0,1,0,1,0,3,2,0,1,0
70,0,0,0,0,0,0,0,3,5,0,0,0,2,2,3,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0
71,0,0,1,2,0,0,0,0,1,0,4,0,0,0,0,3,0,0,0,5,0,2,0,0,0,0,0,0,0,0
72,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,2,4,0,0,0,0,2,0,0,2,2,0,0,2,0
73,0,1,1,1,0,0,0,1,0,0,0,0,3,0,0,1,0,0,0,0,0,1,0,0,0,2,0,2,3,0
74,0,0,1,0,0,0,0,3,1,1,0,1,0,0,2,1,0,2,0,0,0,0,0,0,0,1,1,1,0,0
75,0,0,0,1,0,1,0,4,0,1,0,0,0,0,3,0,0,2,0,0,0,1,0,1,0,0,0,0,0,1
76,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,1,0,2,0,1,0,0,0,2,2,0
77,1,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,0,0,0,1,0,0,1,0,0,0,0,5,0,0
78,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,2,0,0,0
79,0,1,0,2,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0
80,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,4,1,0,0,1,0,1,0,0,0,1,0,1,0,0
81,1,0,1,0,1,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
82,0,0,1,0,1,0,0,0,2,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0
83,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,2,0,1,0,0
84,0,0,0,1,0,0,1,1,2,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0
85,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0
86,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0
87,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
88,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,2,0,0,0,0
89,0,0,1,0,2,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
90,0,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
91,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,1
92,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
93,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,1,0,0
95,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
96,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
97,0,0,0,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1
99,0,0,2,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
