partition,method,class_id,peak_accuracy,final_accuracy,drop
client-longtail,E2,80,53.0,49.0,4.0
client-longtail,E2,81,48.0,48.0,0.0
client-longtail,E2,82,91.0,91.0,0.0
client-longtail,E2,83,81.0,81.0,0.0
client-longtail,E2,84,67.0,67.0,0.0
client-longtail,E2,85,82.0,82.0,0.0
client-longtail,E2,86,74.0,72.0,2.0
client-longtail,E2,87,82.0,82.0,0.0
client-longtail,E2,88,52.0,52.0,0.0
client-longtail,E2,89,86.0,86.0,0.0
client-longtail,E2,90,80.0,80.0,0.0
client-longtail,E2,91,53.0,53.0,0.0
client-longtail,E2,92,74.0,73.0,1.0
client-longtail,E2,93,46.0,45.0,1.0
client-longtail,E2,94,80.0,80.0,0.0
client-longtail,E2,95,65.0,65.0,0.0
client-longtail,E2,96,78.0,76.0,2.0
client-longtail,E2,97,64.0,62.0,2.0
client-longtail,E2,98,67.0,67.0,0.0
client-longtail,E2,99,85.0,85.0,0.0
client-longtail,E3,80,53.0,49.0,4.0
client-longtail,E3,81,53.0,50.0,3.0
client-longtail,E3,82,91.0,91.0,0.0
client-longtail,E3,83,80.0,76.0,4.0
client-longtail,E3,84,72.0,72.0,0.0
client-longtail,E3,85,84.0,83.0,1.0
client-longtail,E3,86,74.0,69.0,5.0
client-longtail,E3,87,83.0,83.0,0.0
client-longtail,E3,88,58.0,58.0,0.0
client-longtail,E3,89,88.0,87.0,1.0
client-longtail,E3,90,81.0,81.0,0.0
client-longtail,E3,91,63.0,63.0,0.0
client-longtail,E3,92,77.0,76.0,1.0
client-longtail,E3,93,47.0,47.0,0.0
client-longtail,E3,94,83.0,83.0,0.0
client-longtail,E3,95,66.0,63.0,3.0
client-longtail,E3,96,78.0,76.0,2.0
client-longtail,E3,97,64.0,60.0,4.0
client-longtail,E3,98,71.0,71.0,0.0
client-longtail,E3,99,87.0,83.0,4.0
client-longtail,J,80,53.0,45.0,8.0
client-longtail,J,81,54.0,41.0,13.0
client-longtail,J,82,91.0,89.0,2.0
client-longtail,J,83,79.0,64.0,15.0
client-longtail,J,84,73.0,52.0,21.0
client-longtail,J,85,84.0,76.0,8.0
client-longtail,J,86,74.0,72.0,2.0
client-longtail,J,87,85.0,76.0,9.0
client-longtail,J,88,71.0,59.0,12.0
client-longtail,J,89,87.0,75.0,12.0
client-longtail,J,90,86.0,85.0,1.0
client-longtail,J,91,68.0,66.0,2.0
client-longtail,J,92,77.0,48.0,29.0
client-longtail,J,93,49.0,43.0,6.0
client-longtail,J,94,83.0,77.0,6.0
client-longtail,J,95,66.0,18.0,48.0
client-longtail,J,96,78.0,44.0,34.0
client-longtail,J,97,65.0,51.0,14.0
client-longtail,J,98,74.0,53.0,21.0
client-longtail,J,99,87.0,57.0,30.0
client-longtail,S,80,53.0,45.0,8.0
client-longtail,S,81,53.0,45.0,8.0
client-longtail,S,82,91.0,91.0,0.0
client-longtail,S,83,79.0,71.0,8.0
client-longtail,S,84,73.0,70.0,3.0
client-longtail,S,85,84.0,83.0,1.0
client-longtail,S,86,74.0,71.0,3.0
client-longtail,S,87,86.0,86.0,0.0
client-longtail,S,88,72.0,65.0,7.0
client-longtail,S,89,87.0,77.0,10.0
client-longtail,S,90,84.0,84.0,0.0
client-longtail,S,91,70.0,69.0,1.0
client-longtail,S,92,77.0,71.0,6.0
client-longtail,S,93,49.0,48.0,1.0
client-longtail,S,94,83.0,81.0,2.0
client-longtail,S,95,66.0,55.0,11.0
client-longtail,S,96,79.0,66.0,13.0
client-longtail,S,97,65.0,52.0,13.0
client-longtail,S,98,73.0,68.0,5.0
client-longtail,S,99,87.0,69.0,18.0
noniid-labeldir-fine,E2,80,53.0,50.0,3.0
noniid-labeldir-fine,E2,81,50.0,50.0,0.0
noniid-labeldir-fine,E2,82,91.0,91.0,0.0
noniid-labeldir-fine,E2,83,82.0,82.0,0.0
noniid-labeldir-fine,E2,84,67.0,67.0,0.0
noniid-labeldir-fine,E2,85,82.0,82.0,0.0
noniid-labeldir-fine,E2,86,74.0,73.0,1.0
noniid-labeldir-fine,E2,87,82.0,82.0,0.0
noniid-labeldir-fine,E2,88,52.0,52.0,0.0
noniid-labeldir-fine,E2,89,86.0,86.0,0.0
noniid-labeldir-fine,E2,90,80.0,80.0,0.0
noniid-labeldir-fine,E2,91,54.0,54.0,0.0
noniid-labeldir-fine,E2,92,74.0,74.0,0.0
noniid-labeldir-fine,E2,93,46.0,45.0,1.0
noniid-labeldir-fine,E2,94,80.0,80.0,0.0
noniid-labeldir-fine,E2,95,65.0,65.0,0.0
noniid-labeldir-fine,E2,96,78.0,77.0,1.0
noniid-labeldir-fine,E2,97,64.0,62.0,2.0
noniid-labeldir-fine,E2,98,67.0,66.0,1.0
noniid-labeldir-fine,E2,99,86.0,86.0,0.0
noniid-labeldir-fine,E3,80,53.0,50.0,3.0
noniid-labeldir-fine,E3,81,54.0,54.0,0.0
noniid-labeldir-fine,E3,82,91.0,91.0,0.0
noniid-labeldir-fine,E3,83,80.0,76.0,4.0
noniid-labeldir-fine,E3,84,75.0,75.0,0.0
noniid-labeldir-fine,E3,85,84.0,84.0,0.0
noniid-labeldir-fine,E3,86,74.0,70.0,4.0
noniid-labeldir-fine,E3,87,83.0,83.0,0.0
noniid-labeldir-fine,E3,88,58.0,58.0,0.0
noniid-labeldir-fine,E3,89,88.0,88.0,0.0
noniid-labeldir-fine,E3,90,81.0,81.0,0.0
noniid-labeldir-fine,E3,91,66.0,66.0,0.0
noniid-labeldir-fine,E3,92,77.0,77.0,0.0
noniid-labeldir-fine,E3,93,48.0,48.0,0.0
noniid-labeldir-fine,E3,94,83.0,83.0,0.0
noniid-labeldir-fine,E3,95,66.0,64.0,2.0
noniid-labeldir-fine,E3,96,79.0,77.0,2.0
noniid-labeldir-fine,E3,97,64.0,62.0,2.0
noniid-labeldir-fine,E3,98,71.0,71.0,0.0
noniid-labeldir-fine,E3,99,87.0,84.0,3.0
noniid-labeldir-fine,J,80,62.0,60.0,2.0
noniid-labeldir-fine,J,81,58.0,56.0,2.0
noniid-labeldir-fine,J,82,94.0,92.0,2.0
noniid-labeldir-fine,J,83,80.0,74.0,6.0
noniid-labeldir-fine,J,84,77.0,68.0,9.0
noniid-labeldir-fine,J,85,84.0,83.0,1.0
noniid-labeldir-fine,J,86,84.0,80.0,4.0
noniid-labeldir-fine,J,87,86.0,82.0,4.0
noniid-labeldir-fine,J,88,72.0,64.0,8.0
noniid-labeldir-fine,J,89,92.0,92.0,0.0
noniid-labeldir-fine,J,90,85.0,82.0,3.0
noniid-labeldir-fine,J,91,75.0,73.0,2.0
noniid-labeldir-fine,J,92,80.0,62.0,18.0
noniid-labeldir-fine,J,93,60.0,60.0,0.0
noniid-labeldir-fine,J,94,89.0,86.0,3.0
noniid-labeldir-fine,J,95,65.0,51.0,14.0
noniid-labeldir-fine,J,96,79.0,54.0,25.0
noniid-labeldir-fine,J,97,72.0,71.0,1.0
noniid-labeldir-fine,J,98,74.0,66.0,8.0
noniid-labeldir-fine,J,99,88.0,69.0,19.0
noniid-labeldir-fine,S,80,56.0,55.0,1.0
noniid-labeldir-fine,S,81,54.0,54.0,0.0
noniid-labeldir-fine,S,82,92.0,92.0,0.0
noniid-labeldir-fine,S,83,80.0,75.0,5.0
noniid-labeldir-fine,S,84,76.0,74.0,2.0
noniid-labeldir-fine,S,85,84.0,83.0,1.0
noniid-labeldir-fine,S,86,74.0,72.0,2.0
noniid-labeldir-fine,S,87,87.0,87.0,0.0
noniid-labeldir-fine,S,88,72.0,68.0,4.0
noniid-labeldir-fine,S,89,87.0,82.0,5.0
noniid-labeldir-fine,S,90,84.0,84.0,0.0
noniid-labeldir-fine,S,91,71.0,71.0,0.0
noniid-labeldir-fine,S,92,79.0,77.0,2.0
noniid-labeldir-fine,S,93,54.0,53.0,1.0
noniid-labeldir-fine,S,94,84.0,83.0,1.0
noniid-labeldir-fine,S,95,66.0,59.0,7.0
noniid-labeldir-fine,S,96,79.0,70.0,9.0
noniid-labeldir-fine,S,97,65.0,57.0,8.0
noniid-labeldir-fine,S,98,73.0,72.0,1.0
noniid-labeldir-fine,S,99,88.0,72.0,16.0
