round,overall,head,middle,tail,nontail,partition,method
0,64.95,67.7,63.56666666666667,66.35,64.6,client-longtail,E2
1,64.98,67.7,63.61666666666667,66.35,64.6375,client-longtail,E2
2,65.03,67.8,63.65,66.4,64.6875,client-longtail,E2
3,65.11,67.9,63.7,66.55,64.75,client-longtail,E2
4,65.15,67.95,63.75,66.55,64.8,client-longtail,E2
5,65.2,67.95,63.833333333333336,66.55,64.8625,client-longtail,E2
6,65.27,68.05,63.9,66.6,64.9375,client-longtail,E2
7,65.4,68.3,64.03333333333333,66.6,65.1,client-longtail,E2
8,65.56,68.45,64.13333333333334,66.95,65.2125,client-longtail,E2
9,65.63,68.5,64.18333333333334,67.1,65.2625,client-longtail,E2
10,65.71,68.65,64.23333333333333,67.2,65.3375,client-longtail,E2
11,65.72,68.65,64.23333333333333,67.25,65.3375,client-longtail,E2
12,65.76,68.7,64.28333333333333,67.25,65.3875,client-longtail,E2
13,65.83,68.75,64.35,67.35,65.45,client-longtail,E2
14,65.91,68.8,64.46666666666667,67.35,65.55,client-longtail,E2
15,66.0,68.9,64.51666666666667,67.55,65.6125,client-longtail,E2
16,66.06,69.0,64.53333333333333,67.7,65.65,client-longtail,E2
17,66.09,69.05,64.55,67.75,65.675,client-longtail,E2
18,66.18,69.2,64.63333333333334,67.8,65.775,client-longtail,E2
19,66.21,69.2,64.65,67.9,65.7875,client-longtail,E2
20,66.29,69.2,64.76666666666667,67.95,65.875,client-longtail,E2
21,66.29,69.2,64.76666666666667,67.95,65.875,client-longtail,E2
22,66.31,69.35,64.75,67.95,65.9,client-longtail,E2
23,66.4,69.35,64.86666666666666,68.05,65.9875,client-longtail,E2
24,66.45,69.5,64.9,68.05,66.05,client-longtail,E2
25,66.49,69.55,64.91666666666667,68.15,66.075,client-longtail,E2
26,66.51,69.45,64.98333333333333,68.15,66.1,client-longtail,E2
27,66.55,69.5,65.01666666666667,68.2,66.1375,client-longtail,E2
28,66.57,69.55,65.03333333333333,68.2,66.1625,client-longtail,E2
29,66.59,69.65,65.05,68.15,66.2,client-longtail,E2
30,66.66,69.65,65.16666666666667,68.15,66.2875,client-longtail,E2
31,66.69,69.65,65.21666666666667,68.15,66.325,client-longtail,E2
