comparison,class_id,class_name,last20_difference,final_difference
j-e3,80,squirrel,-3.95,-4.0
j-e3,81,streetcar,-10.85,-9.0
j-e3,82,sunflower,-2.0,-2.0
j-e3,83,sweet_pepper,-10.7,-12.0
j-e3,84,table,-19.2,-20.0
j-e3,85,tank,-6.65,-7.0
j-e3,86,telephone,2.3,3.0
j-e3,87,television,-5.0,-7.0
j-e3,88,tiger,4.15,1.000000000000007
j-e3,89,tractor,-12.15,-12.0
j-e3,90,train,4.0,4.0
j-e3,91,trout,3.7,3.0
j-e3,92,tulip,-27.05,-28.0
j-e3,93,turtle,-2.5,-4.0
j-e3,94,wardrobe,-4.85,-6.0
j-e3,95,whale,-42.55,-45.0
j-e3,96,willow_tree,-31.8,-32.0
j-e3,97,wolf,-9.25,-9.0
j-e3,98,woman,-15.999999999999998,-18.0
j-e3,99,worm,-29.349999999999998,-26.000000000000007
s-e3,80,squirrel,-3.95,-4.0
s-e3,81,streetcar,-5.15,-5.0
s-e3,82,sunflower,0.0,0.0
s-e3,83,sweet_pepper,-5.55,-5.0
s-e3,84,table,-2.5,-2.0
s-e3,85,tank,-0.2,0.0
s-e3,86,telephone,0.95,2.0
s-e3,87,television,4.1,3.0
s-e3,88,tiger,8.100000000000001,7.000000000000007
s-e3,89,tractor,-9.55,-10.0
s-e3,90,train,2.95,3.0
s-e3,91,trout,6.45,6.0
s-e3,92,tulip,-3.65,-5.0
s-e3,93,turtle,1.0,1.0
s-e3,94,wardrobe,-2.35,-2.0
s-e3,95,whale,-7.349999999999996,-7.999999999999993
s-e3,96,willow_tree,-9.3,-10.0
s-e3,97,wolf,-9.45,-8.0
s-e3,98,woman,-1.6,-3.0
s-e3,99,worm,-14.8,-14.0
