topology,method,round,overall,head20,middle60,tail,nontail
client-longtail,e3,0,64.95,67.7,63.56666666666667,66.35,64.6
client-longtail,e3,1,64.98,67.7,63.61666666666667,66.35,64.6375
client-longtail,e3,2,65.03,67.8,63.65,66.4,64.6875
client-longtail,e3,3,65.11,67.9,63.7,66.55,64.75
client-longtail,e3,4,65.15,67.95,63.75,66.55,64.8
client-longtail,e3,5,65.2,67.95,63.833333333333336,66.55,64.8625
client-longtail,e3,6,65.27,68.05,63.9,66.6,64.9375
client-longtail,e3,7,65.4,68.3,64.03333333333333,66.6,65.1
client-longtail,e3,8,65.56,68.45,64.13333333333334,66.95,65.2125
client-longtail,e3,9,65.63,68.5,64.18333333333334,67.1,65.2625
client-longtail,e3,10,65.78,68.7,64.28333333333333,67.35,65.3875
client-longtail,e3,11,65.88,68.8,64.35,67.55,65.4625
client-longtail,e3,12,65.98,68.85,64.45,67.7,65.55
client-longtail,e3,13,66.07,69.0,64.51666666666667,67.8,65.6375
client-longtail,e3,14,66.19,69.05,64.63333333333334,68.0,65.7375
client-longtail,e3,15,66.24,69.15,64.68333333333334,68.0,65.8
client-longtail,e3,16,66.27,69.2,64.71666666666667,68.0,65.8375
client-longtail,e3,17,66.38,69.3,64.83333333333333,68.1,65.95
client-longtail,e3,18,66.44,69.4,64.9,68.1,66.025
client-longtail,e3,19,66.51,69.55,64.96666666666667,68.1,66.1125
client-longtail,e3,20,66.8,69.65,65.31666666666666,68.4,66.4
client-longtail,e3,21,66.84,69.8,65.35,68.35,66.4625
client-longtail,e3,22,66.98,69.95,65.53333333333333,68.35,66.6375
client-longtail,e3,23,67.04,70.0,65.61666666666666,68.35,66.7125
client-longtail,e3,24,67.1,70.1,65.6,68.6,66.725
client-longtail,e3,25,67.12,70.15,65.61666666666666,68.6,66.75
client-longtail,e3,26,67.22,70.3,65.73333333333333,68.6,66.875
client-longtail,e3,27,67.27,70.4,65.8,68.55,66.95
client-longtail,e3,28,67.31,70.45,65.83333333333333,68.6,66.9875
client-longtail,e3,29,67.32,70.5,65.78333333333333,68.75,66.9625
client-longtail,e3,30,67.67,71.15,66.03333333333333,69.1,67.3125
client-longtail,e3,31,67.72,71.2,66.08333333333333,69.15,67.3625
client-longtail,e3,32,67.81,71.35,66.15,69.25,67.45
client-longtail,e3,33,67.8,71.4,66.1,69.3,67.425
client-longtail,e3,34,67.8,71.3,66.08333333333333,69.45,67.3875
client-longtail,e3,35,67.88,71.35,66.2,69.45,67.4875
client-longtail,e3,36,67.97,71.5,66.28333333333333,69.5,67.5875
client-longtail,e3,37,68.0,71.55,66.3,69.55,67.6125
client-longtail,e3,38,68.0,71.5,66.31666666666666,69.55,67.6125
client-longtail,e3,39,68.0,71.55,66.26666666666667,69.65,67.5875
client-longtail,e3,40,68.2,71.9,66.33333333333333,70.1,67.725
client-longtail,e3,41,68.22,71.9,66.4,70.0,67.775
client-longtail,e3,42,68.25,71.95,66.41666666666667,70.05,67.8
client-longtail,e3,43,68.31,72.1,66.46666666666667,70.05,67.875
client-longtail,e3,44,68.3,72.1,66.45,70.05,67.8625
client-longtail,e3,45,68.33,72.15,66.51666666666667,69.95,67.925
client-longtail,e3,46,68.39,72.1,66.6,70.05,67.975
client-longtail,e3,47,68.43,72.15,66.63333333333334,70.1,68.0125
client-longtail,e3,48,68.5,72.35,66.66666666666667,70.15,68.0875
client-longtail,e3,49,68.53,72.3,66.7,70.25,68.1
client-longtail,e3,50,68.64,72.8,66.71666666666667,70.25,68.2375
client-longtail,e3,51,68.64,72.85,66.73333333333333,70.15,68.2625
client-longtail,e3,52,68.61,72.75,66.7,70.2,68.2125
client-longtail,e3,53,68.62,72.75,66.71666666666667,70.2,68.225
client-longtail,e3,54,68.64,72.9,66.68333333333334,70.25,68.2375
client-longtail,e3,55,68.64,72.9,66.68333333333334,70.25,68.2375
client-longtail,e3,56,68.68,73.0,66.7,70.3,68.275
client-longtail,e3,57,68.71,73.05,66.73333333333333,70.3,68.3125
client-longtail,e3,58,68.71,73.1,66.71666666666667,70.3,68.3125
client-longtail,e3,59,68.71,73.15,66.7,70.3,68.3125
client-longtail,e3,60,68.78,73.2,66.76666666666667,70.4,68.375
client-longtail,e3,61,68.82,73.3,66.78333333333333,70.45,68.4125
client-longtail,e3,62,68.88,73.3,66.83333333333333,70.6,68.45
client-longtail,e3,63,68.89,73.45,66.81666666666666,70.55,68.475
client-longtail,e3,64,68.91,73.5,66.85,70.5,68.5125
client-longtail,e3,65,68.96,73.5,66.91666666666667,70.55,68.5625
client-longtail,e3,66,69.01,73.55,66.98333333333333,70.55,68.625
client-longtail,e3,67,69.04,73.55,67.0,70.65,68.6375
client-longtail,e3,68,69.06,73.5,67.01666666666667,70.75,68.6375
client-longtail,e3,69,69.08,73.55,67.03333333333333,70.75,68.6625
client-longtail,e3,70,69.13,73.85,67.0,70.8,68.7125
client-longtail,e3,71,69.14,73.85,67.01666666666667,70.8,68.725
client-longtail,e3,72,69.19,73.9,67.03333333333333,70.95,68.75
client-longtail,e3,73,69.19,74.0,67.0,70.95,68.75
client-longtail,e3,74,69.24,74.05,67.06666666666666,70.95,68.8125
client-longtail,e3,75,69.26,74.05,67.1,70.95,68.8375
client-longtail,e3,76,69.24,74.0,67.08333333333333,70.95,68.8125
client-longtail,e3,77,69.26,74.1,67.06666666666666,71.0,68.825
client-longtail,e3,78,69.26,74.1,67.1,70.9,68.85
client-longtail,e3,79,69.29,74.1,67.15,70.9,68.8875
client-longtail,e3,80,69.37,74.3,67.13333333333334,71.15,68.925
client-longtail,e3,81,69.4,74.3,67.16666666666667,71.2,68.95
client-longtail,e3,82,69.39,74.3,67.15,71.2,68.9375
client-longtail,e3,83,69.43,74.35,67.18333333333334,71.25,68.975
client-longtail,e3,84,69.48,74.4,67.23333333333333,71.3,69.025
client-longtail,e3,85,69.47,74.35,67.23333333333333,71.3,69.0125
client-longtail,e3,86,69.5,74.3,67.28333333333333,71.35,69.0375
client-longtail,e3,87,69.52,74.3,67.31666666666666,71.35,69.0625
client-longtail,e3,88,69.58,74.3,67.41666666666667,71.35,69.1375
client-longtail,e3,89,69.65,74.4,67.48333333333333,71.4,69.2125
client-longtail,e3,90,69.67,74.65,67.48333333333333,71.25,69.275
client-longtail,e3,91,69.69,74.65,67.48333333333333,71.35,69.275
client-longtail,e3,92,69.72,74.65,67.53333333333333,71.35,69.3125
client-longtail,e3,93,69.77,74.75,67.56666666666666,71.4,69.3625
client-longtail,e3,94,69.77,74.75,67.6,71.3,69.3875
client-longtail,e3,95,69.77,74.8,67.6,71.25,69.4
client-longtail,e3,96,69.79,74.8,67.65,71.2,69.4375
client-longtail,e3,97,69.79,74.8,67.68333333333334,71.1,69.4625
client-longtail,e3,98,69.83,74.85,67.73333333333333,71.1,69.5125
client-longtail,e3,99,69.83,74.9,67.73333333333333,71.05,69.525
client-longtail,e3,100,69.86,74.95,67.76666666666667,71.05,69.5625
client-longtail,j,0,64.95,67.7,63.56666666666667,66.35,64.6
client-longtail,j,1,64.99,67.7,63.61666666666667,66.4,64.6375
client-longtail,j,2,65.08,67.85,63.68333333333333,66.5,64.725
client-longtail,j,3,65.3,68.0,63.9,66.8,64.925
client-longtail,j,4,65.82,68.6,64.3,67.6,65.375
client-longtail,j,5,66.39,69.25,64.85,68.15,65.95
client-longtail,j,6,66.98,70.05,65.38333333333334,68.7,66.55
client-longtail,j,7,67.46,70.8,65.8,69.1,67.05
client-longtail,j,8,67.81,71.4,65.9,69.95,67.275
client-longtail,j,9,68.06,71.8,66.13333333333334,70.1,67.55
client-longtail,j,10,68.21,72.15,66.18333333333334,70.35,67.675
client-longtail,j,11,68.45,72.7,66.4,70.35,67.975
client-longtail,j,12,68.51,72.9,66.38333333333334,70.5,68.0125
client-longtail,j,13,68.69,73.25,66.55,70.55,68.225
client-longtail,j,14,68.91,73.6,66.75,70.7,68.4625
client-longtail,j,15,69.19,74.25,66.91666666666667,70.95,68.75
client-longtail,j,16,69.23,74.25,66.98333333333333,70.95,68.8
client-longtail,j,17,69.5,74.65,67.26666666666667,71.05,69.1125
client-longtail,j,18,69.59,74.85,67.36666666666666,71.0,69.2375
client-longtail,j,19,69.87,75.15,67.66666666666667,71.2,69.5375
client-longtail,j,20,69.98,75.15,67.75,71.5,69.6
client-longtail,j,21,70.12,75.25,67.9,71.65,69.7375
client-longtail,j,22,70.21,75.35,68.0,71.7,69.8375
client-longtail,j,23,70.27,75.25,68.18333333333334,71.55,69.95
client-longtail,j,24,70.36,75.45,68.35,71.3,70.125
client-longtail,j,25,70.31,75.55,68.3,71.1,70.1125
client-longtail,j,26,70.37,75.65,68.38333333333334,71.05,70.2
client-longtail,j,27,70.5,75.75,68.61666666666666,70.9,70.4
client-longtail,j,28,70.51,75.85,68.66666666666667,70.7,70.4625
client-longtail,j,29,70.55,75.9,68.8,70.45,70.575
client-longtail,j,30,70.56,75.8,68.95,70.15,70.6625
client-longtail,j,31,70.52,75.8,69.05,69.65,70.7375
client-longtail,j,32,70.51,75.6,69.13333333333334,69.55,70.75
client-longtail,j,33,70.65,75.85,69.38333333333334,69.25,71.0
client-longtail,j,34,70.62,75.8,69.4,69.1,71.0
client-longtail,j,35,70.65,75.8,69.55,68.8,71.1125
client-longtail,j,36,70.68,75.9,69.63333333333334,68.6,71.2
client-longtail,j,37,70.71,75.95,69.7,68.5,71.2625
