method,partition,round,overall,tail
E0,client-longtail,0,64.95,66.35
E0,client-longtail,1,64.99,66.4
E0,client-longtail,2,65.07,66.45
E0,client-longtail,3,65.06,66.4
E0,client-longtail,4,65.09,66.4
E0,client-longtail,5,65.17,66.45
E0,client-longtail,6,65.33,66.7
E0,client-longtail,7,65.43,66.8
E0,client-longtail,8,65.62,67.0
E0,client-longtail,9,65.68,67.05
E0,client-longtail,10,65.74,67.1
E0,client-longtail,11,65.79,67.2
E0,client-longtail,12,65.87,67.35
E0,client-longtail,13,65.96,67.45
E0,client-longtail,14,66.03,67.5
E0,client-longtail,15,66.11,67.6
E0,client-longtail,16,66.17,67.6
E0,client-longtail,17,66.21,67.6
E0,client-longtail,18,66.25,67.7
E0,client-longtail,19,66.3,67.7
E0,client-longtail,20,66.36,67.75
E0,client-longtail,21,66.38,67.85
E0,client-longtail,22,66.43,67.85
E0,client-longtail,23,66.43,67.8
E0,client-longtail,24,66.4,67.7
E0,client-longtail,25,66.43,67.75
E0,client-longtail,26,66.48,67.75
E0,client-longtail,27,66.49,67.8
E0,client-longtail,28,66.49,67.8
E0,client-longtail,29,66.52,67.75
E0,client-longtail,30,66.54,67.8
E0,client-longtail,31,66.6,67.85
E0,client-longtail,32,66.61,67.9
E0,client-longtail,33,66.69,67.85
E0,client-longtail,34,66.71,67.9
E0,client-longtail,35,66.75,67.9
E0,client-longtail,36,66.85,67.9
E0,client-longtail,37,66.9,67.95
E0,client-longtail,38,66.92,67.95
E0,client-longtail,39,66.97,67.95
E0,client-longtail,40,67.04,67.9
E0,client-longtail,41,67.09,67.95
E0,client-longtail,42,67.13,67.85
E0,client-longtail,43,67.1,67.75
E0,client-longtail,44,67.09,67.75
E0,client-longtail,45,67.08,67.75
E0,client-longtail,46,67.07,67.75
E0,client-longtail,47,67.08,67.85
E0,client-longtail,48,67.09,67.75
E0,client-longtail,49,67.09,67.7
E0,client-longtail,50,67.09,67.65
E0,client-longtail,51,67.12,67.6
E0,client-longtail,52,67.15,67.6
E0,client-longtail,53,67.15,67.6
E0,client-longtail,54,67.16,67.55
