method,description,CLT_overall,CLT_head,CLT_middle,CLT_tail,CLT_nontail,CLT_drop,Dir_overall,Dir_head,Dir_middle,Dir_tail,Dir_nontail,Dir_drop,Tail_Dir_minus_CLT
CAPT,原生提示学习（历史参照）,69.98450000,81.81500000,67.76333333333333333333333333,64.81750000,71.27625000,5.65,,,,,,,
E0,无LA / 固定A + 9次额外B,67.69700000,77.44000000,64.43416666666666666666666667,67.74250000,67.68562500,0.45,67.66950000,76.97000000,64.47750000,67.94500000,67.60062500,0.35,0.20250000
E1,无LA / B日常 + 9次额外A,65.87600000,83.92000000,62.58666666666666666666666667,57.70000000,67.92000000,12.90,66.43800000,83.48500000,62.58916666666666666666666667,60.93750000,67.81312500,9.1,3.23750000
E2,LA / 固定A + 9次额外B,68.10100000,71.64250000,66.40416666666666666666666667,69.65000000,67.71375000,0.05,68.07050000,71.41500000,66.37333333333333333333333333,69.81750000,67.63375000,0.0,0.16750000
E3,LA / B日常 + 9次额外A,69.64550000,74.57750000,67.46500000,71.25500000,69.24312500,0.35,69.60350000,74.53500000,67.15500000,72.01750000,69.00000000,0.05,0.76250000
E5,LA / 功能控制A或B更新,69.54050000,74.37000000,67.39416666666666666666666667,71.15000000,69.13812500,0.00,69.46050000,74.22000000,67.03166666666666666666666667,71.98750000,68.82875000,0.0,0.83750000
J,LA / AB联训 + 9次额外A,71.19600000,78.56000000,72.38333333333333333333333333,60.27000000,73.92750000,12.15,72.29250000,77.20250000,70.96666666666666666666666667,71.36000000,72.52562500,1.80,11.09000000
S,LA / B日常 + 90次额外A,70.91000000,76.83750000,69.68333333333333333333333333,68.66250000,71.47187500,3.45,71.01400000,75.59000000,69.06083333333333333333333333,72.29750000,70.69312500,0.9,3.63500000
Full-1,S + 来源与历史修正 / λ=1,70.88300000,76.75000000,69.57833333333333333333333333,68.93000000,71.37125000,3.2,,,,,,,
Full-3,S + 来源与历史修正 / λ=3,70.79750000,76.50250000,69.37000000,69.37500000,71.15312500,2.80,,,,,,,
Full-10,S + 来源与历史修正 / λ=10,70.56500000,76.02500000,68.57583333333333333333333333,71.07250000,70.43812500,0.70,,,,,,,
Current-10,S + 仅当前目标修正 / λ=10,70.86100000,76.75000000,69.53083333333333333333333333,68.96250000,71.33562500,3.25,,,,,,,
Flat-10,S + 统一功能权重 / λ=10,70.70050000,76.15750000,69.06000000,70.16500000,70.83437500,1.95,,,,,,,
