method,partition,seed,description,overall,head,middle,tail,nontail,tail_peak,peak_round,tail_final,drop,local_steps,a_refreshes,normal_ab_events,correction_steps,source
E0,client-longtail,42,无LA / 固定A + 9次额外B,67.69700000,77.44000000,64.43416666666666666666666667,67.74250000,67.68562500,68.0,83,67.55,0.45,108768,0,0,0,output/la_control_ablation_analysis/la_control/seed42/client-longtail/e0/tau0_a1_protocol42
E1,client-longtail,42,无LA / B日常 + 9次额外A,65.87600000,83.92000000,62.58666666666666666666666667,57.70000000,67.92000000,68.55,31,55.65,12.90,108768,9,0,0,output/la_control_ablation_analysis/la_control/seed42/client-longtail/e1/tau0_a1_protocol42
E2,client-longtail,42,LA / 固定A + 9次额外B,68.10100000,71.64250000,66.40416666666666666666666667,69.65000000,67.71375000,69.85,98,69.8,0.05,108768,,,0,output/la_control_ablation_analysis/la_control/seed42/client-longtail/e2/tau1_a1_protocol42
E3,client-longtail,42,LA / B日常 + 9次额外A,69.64550000,74.57750000,67.46500000,71.25500000,69.24312500,71.4,89,71.05,0.35,108768,,,0,output/la_control_ablation_analysis/la_control/seed42/client-longtail/e3/tau1_a1_protocol42
E5,client-longtail,42,LA / 功能控制A或B更新,69.54050000,74.37000000,67.39416666666666666666666667,71.15000000,69.13812500,71.25,90,71.25,0.00,130944,,,0,output/la_control_ablation_analysis/la_control/seed42/client-longtail/e5/tau1_a1_h2_t0.002_hist0.002_gain0.0001_p2_protocol42
J,client-longtail,42,LA / AB联训 + 9次额外A,71.19600000,78.56000000,72.38333333333333333333333333,60.27000000,73.92750000,71.7,22,59.55,12.15,108768,9,100,0,output/la_control_ablation_analysis/la_control/seed42/client-longtail/j/tau1_a1_protocol42
S,client-longtail,42,LA / B日常 + 90次额外A,70.91000000,76.83750000,69.68333333333333333333333333,68.66250000,71.47187500,71.8,46,68.35,3.45,137280,90,0,0,output/la_control_ablation_analysis/la_control/seed42/client-longtail/s/tau1_a1_protocol42
E0,noniid-labeldir-fine,42,无LA / 固定A + 9次额外B,67.66950000,76.97000000,64.47750000,67.94500000,67.60062500,68.1,82,67.75,0.35,109386,0,0,0,output/la_control_dirichlet_supplement_analysis/la_control/seed42/noniid-labeldir-fine/e0/tau0_a1_protocol42_beta0.5
E1,noniid-labeldir-fine,42,无LA / B日常 + 9次额外A,66.43800000,83.48500000,62.58916666666666666666666667,60.93750000,67.81312500,68.6,31,59.5,9.1,109386,9,0,0,output/la_control_dirichlet_supplement_analysis/la_control/seed42/noniid-labeldir-fine/e1/tau0_a1_protocol42_beta0.5
E2,noniid-labeldir-fine,42,LA / 固定A + 9次额外B,68.07050000,71.41500000,66.37333333333333333333333333,69.81750000,67.63375000,70.2,99,70.2,0.0,109386,0,0,0,output/la_control_dirichlet_supplement_analysis/la_control/seed42/noniid-labeldir-fine/e2/tau1_a1_protocol42_beta0.5
E3,noniid-labeldir-fine,42,LA / B日常 + 9次额外A,69.60350000,74.53500000,67.15500000,72.01750000,69.00000000,72.15,98,72.1,0.05,109386,9,0,0,output/la_control_standard_dirichlet_e3_j_s_analysis/la_control/seed42/noniid-labeldir-fine/e3/tau1_a1_protocol42_beta0.5
E5,noniid-labeldir-fine,42,LA / 功能控制A或B更新,69.46050000,74.22000000,67.03166666666666666666666667,71.98750000,68.82875000,72.2,99,72.2,0.0,131688,7,0,0,output/la_control_dirichlet_supplement_analysis/la_control/seed42/noniid-labeldir-fine/e5/tau1_a1_h2_t0.002_hist0.002_gain0.0001_p2_protocol42_beta0.5
J,noniid-labeldir-fine,42,LA / AB联训 + 9次额外A,72.29250000,77.20250000,70.96666666666666666666666667,71.36000000,72.52562500,73.05,28,71.25,1.80,109386,9,100,0,output/la_control_standard_dirichlet_e3_j_s_analysis/la_control/seed42/noniid-labeldir-fine/j/tau1_a1_protocol42_beta0.5
S,noniid-labeldir-fine,42,LA / B日常 + 90次额外A,71.01400000,75.59000000,69.06083333333333333333333333,72.29750000,70.69312500,72.9,57,72.0,0.9,138060,90,0,0,output/la_control_standard_dirichlet_e3_j_s_analysis/la_control/seed42/noniid-labeldir-fine/s/tau1_a1_protocol42_beta0.5
Full-1,client-longtail,42,S + 来源与历史修正 / λ=1,70.88300000,76.75000000,69.57833333333333333333333333,68.93000000,71.37125000,71.8,48,68.6,3.2,137280,90,,270,output/sfra_v1_analysis/sfra_v1/seed42/client-longtail/full/lambda1_protocol42
Full-3,client-longtail,42,S + 来源与历史修正 / λ=3,70.79750000,76.50250000,69.37000000,69.37500000,71.15312500,71.75,49,68.95,2.80,137280,90,,270,output/sfra_v1_analysis/sfra_v1/seed42/client-longtail/full/lambda3_protocol42
Full-10,client-longtail,42,S + 来源与历史修正 / λ=10,70.56500000,76.02500000,68.57583333333333333333333333,71.07250000,70.43812500,71.55,64,70.85,0.70,137280,90,,270,output/sfra_v1_analysis/sfra_v1/seed42/client-longtail/full/lambda10_protocol42
Current-10,client-longtail,42,S + 仅当前目标修正 / λ=10,70.86100000,76.75000000,69.53083333333333333333333333,68.96250000,71.33562500,71.8,48,68.55,3.25,137280,90,,270,output/sfra_v1_analysis/sfra_v1/seed42/client-longtail/current/lambda10_protocol42
Flat-10,client-longtail,42,S + 统一功能权重 / λ=10,70.70050000,76.15750000,69.06000000,70.16500000,70.83437500,71.6,50,69.65,1.95,137280,90,,270,output/sfra_v1_analysis/sfra_v1/seed42/client-longtail/flat/lambda10_protocol42
