method,partition,class_id,last20_accuracy
E0,client-longtail,0,93.35000000
E0,client-longtail,1,80.60000000
E0,client-longtail,2,82.00000000
E0,client-longtail,3,73.15000000
E0,client-longtail,4,67.45000000
E0,client-longtail,5,75.65000000
E0,client-longtail,6,84.00000000
E0,client-longtail,7,68.95000000
E0,client-longtail,8,86.00000000
E0,client-longtail,9,90.00000000
E0,client-longtail,10,51.05000000
E0,client-longtail,11,75.00000000
E0,client-longtail,12,84.60000000
E0,client-longtail,13,77.70000000
E0,client-longtail,14,71.10000000
E0,client-longtail,15,85.00000000
E0,client-longtail,16,87.00000000
E0,client-longtail,17,83.95000000
E0,client-longtail,18,50.25000000
E0,client-longtail,19,82.00000000
E0,client-longtail,20,95.70000000
E0,client-longtail,21,86.60000000
E0,client-longtail,22,83.20000000
E0,client-longtail,23,78.00000000
E0,client-longtail,24,63.65000000
E0,client-longtail,25,60.45000000
E0,client-longtail,26,64.05000000
E0,client-longtail,27,42.70000000
E0,client-longtail,28,56.65000000
E0,client-longtail,29,72.00000000
E0,client-longtail,30,57.00000000
E0,client-longtail,31,78.60000000
E0,client-longtail,32,42.30000000
E0,client-longtail,33,56.95000000
E0,client-longtail,34,77.20000000
E0,client-longtail,35,59.00000000
E0,client-longtail,36,74.00000000
E0,client-longtail,37,91.00000000
E0,client-longtail,38,66.45000000
E0,client-longtail,39,86.00000000
E0,client-longtail,40,71.25000000
E0,client-longtail,41,89.00000000
E0,client-longtail,42,10.50000000
E0,client-longtail,43,79.40000000
E0,client-longtail,44,51.00000000
E0,client-longtail,45,23.20000000
E0,client-longtail,46,65.40000000
E0,client-longtail,47,43.05000000
E0,client-longtail,48,92.00000000
E0,client-longtail,49,90.00000000
E0,client-longtail,50,22.35000000
E0,client-longtail,51,70.80000000
E0,client-longtail,52,61.95000000
E0,client-longtail,53,98.00000000
E0,client-longtail,54,80.40000000
E0,client-longtail,55,23.65000000
E0,client-longtail,56,86.45000000
E0,client-longtail,57,70.90000000
E0,client-longtail,58,92.00000000
E0,client-longtail,59,69.90000000
E0,client-longtail,60,71.60000000
E0,client-longtail,61,58.30000000
E0,client-longtail,62,72.00000000
E0,client-longtail,63,11.20000000
E0,client-longtail,64,41.00000000
E0,client-longtail,65,72.00000000
E0,client-longtail,66,54.15000000
E0,client-longtail,67,16.00000000
E0,client-longtail,68,96.00000000
E0,client-longtail,69,85.00000000
E0,client-longtail,70,73.00000000
E0,client-longtail,71,81.65000000
E0,client-longtail,72,42.00000000
E0,client-longtail,73,67.00000000
E0,client-longtail,74,28.40000000
E0,client-longtail,75,57.45000000
E0,client-longtail,76,78.00000000
E0,client-longtail,77,70.55000000
E0,client-longtail,78,56.05000000
E0,client-longtail,79,52.00000000
E0,client-longtail,80,47.25000000
E0,client-longtail,81,45.85000000
E0,client-longtail,82,91.00000000
E0,client-longtail,83,73.00000000
E0,client-longtail,84,64.95000000
E0,client-longtail,85,80.00000000
E0,client-longtail,86,70.70000000
E0,client-longtail,87,82.00000000
E0,client-longtail,88,47.00000000
E0,client-longtail,89,89.00000000
E0,client-longtail,90,80.00000000
E0,client-longtail,91,44.75000000
E0,client-longtail,92,70.75000000
E0,client-longtail,93,49.00000000
E0,client-longtail,94,78.90000000
E0,client-longtail,95,63.55000000
E0,client-longtail,96,70.65000000
E0,client-longtail,97,62.20000000
E0,client-longtail,98,64.55000000
E0,client-longtail,99,79.75000000
E1,client-longtail,0,97.85000000
E1,client-longtail,1,91.00000000
E1,client-longtail,2,83.95000000
E1,client-longtail,3,80.20000000
E1,client-longtail,4,74.95000000
E1,client-longtail,5,87.10000000
E1,client-longtail,6,87.00000000
E1,client-longtail,7,77.95000000
E1,client-longtail,8,91.65000000
E1,client-longtail,9,93.00000000
E1,client-longtail,10,67.00000000
E1,client-longtail,11,77.00000000
E1,client-longtail,12,92.00000000
E1,client-longtail,13,89.90000000
E1,client-longtail,14,78.00000000
E1,client-longtail,15,85.00000000
E1,client-longtail,16,86.85000000
E1,client-longtail,17,90.00000000
E1,client-longtail,18,68.00000000
E1,client-longtail,19,80.00000000
E1,client-longtail,20,89.95000000
E1,client-longtail,21,85.70000000
E1,client-longtail,22,83.00000000
E1,client-longtail,23,89.85000000
E1,client-longtail,24,59.00000000
E1,client-longtail,25,63.00000000
E1,client-longtail,26,69.85000000
E1,client-longtail,27,55.35000000
E1,client-longtail,28,58.00000000
E1,client-longtail,29,68.75000000
E1,client-longtail,30,58.40000000
E1,client-longtail,31,75.40000000
E1,client-longtail,32,44.00000000
E1,client-longtail,33,68.30000000
E1,client-longtail,34,74.50000000
E1,client-longtail,35,59.75000000
E1,client-longtail,36,72.00000000
E1,client-longtail,37,91.30000000
E1,client-longtail,38,71.50000000
E1,client-longtail,39,77.00000000
E1,client-longtail,40,77.05000000
E1,client-longtail,41,83.10000000
E1,client-longtail,42,17.55000000
E1,client-longtail,43,82.30000000
E1,client-longtail,44,53.45000000
E1,client-longtail,45,32.00000000
E1,client-longtail,46,61.15000000
E1,client-longtail,47,53.50000000
E1,client-longtail,48,90.55000000
E1,client-longtail,49,85.75000000
E1,client-longtail,50,38.00000000
E1,client-longtail,51,66.00000000
E1,client-longtail,52,58.10000000
E1,client-longtail,53,93.10000000
E1,client-longtail,54,81.80000000
E1,client-longtail,55,15.80000000
E1,client-longtail,56,87.00000000
E1,client-longtail,57,53.35000000
E1,client-longtail,58,86.90000000
E1,client-longtail,59,64.75000000
E1,client-longtail,60,49.80000000
E1,client-longtail,61,37.90000000
E1,client-longtail,62,73.00000000
E1,client-longtail,63,9.00000000
E1,client-longtail,64,57.15000000
E1,client-longtail,65,68.40000000
E1,client-longtail,66,49.00000000
E1,client-longtail,67,18.15000000
E1,client-longtail,68,92.60000000
E1,client-longtail,69,81.00000000
E1,client-longtail,70,73.65000000
E1,client-longtail,71,71.30000000
E1,client-longtail,72,33.05000000
E1,client-longtail,73,51.85000000
E1,client-longtail,74,12.30000000
E1,client-longtail,75,50.50000000
E1,client-longtail,76,80.80000000
E1,client-longtail,77,48.30000000
E1,client-longtail,78,58.95000000
E1,client-longtail,79,42.70000000
E1,client-longtail,80,44.95000000
E1,client-longtail,81,33.75000000
E1,client-longtail,82,89.75000000
E1,client-longtail,83,60.40000000
E1,client-longtail,84,61.45000000
E1,client-longtail,85,75.15000000
E1,client-longtail,86,58.75000000
E1,client-longtail,87,80.35000000
E1,client-longtail,88,48.50000000
E1,client-longtail,89,77.85000000
E1,client-longtail,90,79.45000000
E1,client-longtail,91,24.85000000
E1,client-longtail,92,55.45000000
E1,client-longtail,93,42.65000000
E1,client-longtail,94,71.30000000
E1,client-longtail,95,51.50000000
E1,client-longtail,96,39.25000000
E1,client-longtail,97,48.40000000
E1,client-longtail,98,52.85000000
E1,client-longtail,99,57.40000000
E2,client-longtail,0,87.00000000
E2,client-longtail,1,73.05000000
E2,client-longtail,2,80.00000000
E2,client-longtail,3,66.00000000
E2,client-longtail,4,45.15000000
E2,client-longtail,5,69.00000000
E2,client-longtail,6,79.00000000
E2,client-longtail,7,57.65000000
E2,client-longtail,8,81.35000000
E2,client-longtail,9,90.00000000
E2,client-longtail,10,44.70000000
E2,client-longtail,11,70.00000000
E2,client-longtail,12,81.50000000
E2,client-longtail,13,76.00000000
E2,client-longtail,14,66.40000000
E2,client-longtail,15,86.00000000
E2,client-longtail,16,85.00000000
E2,client-longtail,17,82.70000000
E2,client-longtail,18,31.35000000
E2,client-longtail,19,81.00000000
E2,client-longtail,20,97.40000000
E2,client-longtail,21,86.00000000
E2,client-longtail,22,83.00000000
E2,client-longtail,23,76.90000000
E2,client-longtail,24,68.30000000
E2,client-longtail,25,62.75000000
E2,client-longtail,26,59.10000000
E2,client-longtail,27,39.70000000
E2,client-longtail,28,55.00000000
E2,client-longtail,29,73.00000000
E2,client-longtail,30,54.00000000
E2,client-longtail,31,81.00000000
E2,client-longtail,32,42.00000000
E2,client-longtail,33,53.00000000
E2,client-longtail,34,81.00000000
E2,client-longtail,35,64.00000000
E2,client-longtail,36,71.00000000
E2,client-longtail,37,91.00000000
E2,client-longtail,38,67.00000000
E2,client-longtail,39,87.00000000
E2,client-longtail,40,72.00000000
E2,client-longtail,41,90.00000000
E2,client-longtail,42,11.45000000
E2,client-longtail,43,80.80000000
E2,client-longtail,44,60.30000000
E2,client-longtail,45,21.45000000
E2,client-longtail,46,69.00000000
E2,client-longtail,47,42.20000000
E2,client-longtail,48,92.00000000
E2,client-longtail,49,91.00000000
E2,client-longtail,50,18.35000000
E2,client-longtail,51,73.60000000
E2,client-longtail,52,56.00000000
E2,client-longtail,53,96.00000000
E2,client-longtail,54,82.00000000
E2,client-longtail,55,32.00000000
E2,client-longtail,56,87.00000000
E2,client-longtail,57,80.00000000
E2,client-longtail,58,93.00000000
E2,client-longtail,59,73.00000000
E2,client-longtail,60,75.35000000
E2,client-longtail,61,60.00000000
E2,client-longtail,62,70.00000000
E2,client-longtail,63,16.80000000
E2,client-longtail,64,44.00000000
E2,client-longtail,65,70.30000000
E2,client-longtail,66,65.00000000
E2,client-longtail,67,15.75000000
E2,client-longtail,68,95.00000000
E2,client-longtail,69,83.00000000
E2,client-longtail,70,71.00000000
E2,client-longtail,71,83.00000000
E2,client-longtail,72,53.25000000
E2,client-longtail,73,74.00000000
E2,client-longtail,74,52.45000000
E2,client-longtail,75,67.55000000
E2,client-longtail,76,78.40000000
E2,client-longtail,77,77.05000000
E2,client-longtail,78,54.35000000
E2,client-longtail,79,64.70000000
E2,client-longtail,80,49.65000000
E2,client-longtail,81,48.00000000
E2,client-longtail,82,91.00000000
E2,client-longtail,83,80.15000000
E2,client-longtail,84,67.00000000
E2,client-longtail,85,82.00000000
E2,client-longtail,86,72.00000000
E2,client-longtail,87,81.35000000
E2,client-longtail,88,51.20000000
E2,client-longtail,89,85.00000000
E2,client-longtail,90,80.00000000
E2,client-longtail,91,52.50000000
E2,client-longtail,92,73.90000000
E2,client-longtail,93,45.00000000
E2,client-longtail,94,80.00000000
E2,client-longtail,95,64.75000000
E2,client-longtail,96,75.50000000
E2,client-longtail,97,62.00000000
E2,client-longtail,98,67.00000000
E2,client-longtail,99,85.00000000
E3,client-longtail,0,86.00000000
E3,client-longtail,1,76.30000000
E3,client-longtail,2,81.85000000
E3,client-longtail,3,68.00000000
E3,client-longtail,4,46.40000000
E3,client-longtail,5,71.55000000
E3,client-longtail,6,80.55000000
E3,client-longtail,7,61.30000000
E3,client-longtail,8,85.40000000
E3,client-longtail,9,90.00000000
E3,client-longtail,10,48.10000000
E3,client-longtail,11,72.00000000
E3,client-longtail,12,86.00000000
E3,client-longtail,13,77.15000000
E3,client-longtail,14,74.35000000
E3,client-longtail,15,86.05000000
E3,client-longtail,16,84.65000000
E3,client-longtail,17,84.65000000
E3,client-longtail,18,52.25000000
