mode,metric,topology,factor,correction,mean,minimum,maximum,positive,zero,negative
raw,tail20,client-longtail,A,client,0.0,0.0,0.0,0,6,0
raw,tail20,client-longtail,A,class,0.008333333333330492,-0.05000000000001137,0.04999999999999716,2,3,1
raw,tail20,client-longtail,B,client,0.0,0.0,0.0,0,6,0
raw,tail20,client-longtail,B,class,0.02499999999999858,-0.15000000000000568,0.15000000000000568,4,1,1
raw,tail20,noniid-labeldir-fine,A,client,0.0,0.0,0.0,0,6,0
raw,tail20,noniid-labeldir-fine,A,class,0.02499999999999858,0.0,0.09999999999999432,2,4,0
raw,tail20,noniid-labeldir-fine,B,client,0.00833333333333286,0.0,0.04999999999999716,1,5,0
raw,tail20,noniid-labeldir-fine,B,class,0.0416666666666643,-0.10000000000000853,0.20000000000000284,3,2,1
raw,probe_tail_logodds,client-longtail,A,client,-0.00026296933492022295,-0.0008269977569579368,0.00010590553283684745,1,0,5
raw,probe_tail_logodds,client-longtail,A,class,0.0005125586191813136,-0.0018537139892578214,0.003572549819946147,4,0,2
raw,probe_tail_logodds,client-longtail,B,client,0.00045054435729989056,-9.059906005859375e-06,0.0009840774536133967,5,0,1
raw,probe_tail_logodds,client-longtail,B,class,0.005461324055989518,0.002506599426269518,0.008974018096923553,6,0,0
raw,probe_tail_logodds,noniid-labeldir-fine,A,client,-0.00011726061503088599,-0.0003685474395751509,-1.8339157104585446e-05,0,0,6
raw,probe_tail_logodds,noniid-labeldir-fine,A,class,0.0008025328318277772,-0.0012729263305664151,0.0037374591827392667,4,0,2
raw,probe_tail_logodds,noniid-labeldir-fine,B,client,0.0002630138397216597,-3.2777786254989394e-05,0.000622463226318315,4,0,2
raw,probe_tail_logodds,noniid-labeldir-fine,B,class,0.00593915939331056,0.002807817459106521,0.009551687240600515,6,0,0
norm_matched,tail20,client-longtail,A,client,0.0,0.0,0.0,0,6,0
norm_matched,tail20,client-longtail,A,class,0.0,-0.04999999999999716,0.04999999999999716,1,4,1
norm_matched,tail20,client-longtail,B,client,0.0,0.0,0.0,0,6,0
norm_matched,tail20,client-longtail,B,class,0.0,-0.04999999999999716,0.04999999999999716,1,4,1
norm_matched,tail20,noniid-labeldir-fine,A,client,0.0,0.0,0.0,0,6,0
norm_matched,tail20,noniid-labeldir-fine,A,class,0.0,-0.04999999999999716,0.04999999999999716,1,4,1
norm_matched,tail20,noniid-labeldir-fine,B,client,0.0,0.0,0.0,0,6,0
norm_matched,tail20,noniid-labeldir-fine,B,class,0.00833333333333286,0.0,0.04999999999999716,1,5,0
norm_matched,probe_tail_logodds,client-longtail,A,client,-1.4691352844357445e-05,-4.099845886251785e-05,1.5659332275097526e-05,2,0,4
norm_matched,probe_tail_logodds,client-longtail,A,class,0.0006061220169068515,0.00024343490600586826,0.000997447967529208,6,0,0
norm_matched,probe_tail_logodds,client-longtail,B,client,0.0004236650466919826,0.00021965026855474967,0.0008405780792237749,6,0,0
norm_matched,probe_tail_logodds,client-longtail,B,class,0.001113068262735976,0.00019565582275382631,0.002225151062011599,6,0,0
norm_matched,probe_tail_logodds,noniid-labeldir-fine,A,client,-2.3926099141461748e-05,-4.990577697772114e-05,-4.510879516694821e-06,0,0,6
norm_matched,probe_tail_logodds,noniid-labeldir-fine,A,class,0.0006858189900715664,0.0002660465240478249,0.0010636711120605158,6,0,0
norm_matched,probe_tail_logodds,noniid-labeldir-fine,B,client,0.0003263378143309459,0.00014802932739255148,0.0005672931671141246,6,0,0
norm_matched,probe_tail_logodds,noniid-labeldir-fine,B,class,0.0017345317204794004,0.0009996509552003818,0.0027146625518799095,6,0,0
